"payment_id";"loan_id";"payment_date";"payment_amount"
199;44328;"2025-09-08";22502.72
200;41806;"2022-09-13";25956.15
201;1894;"2021-03-24";73108.55
202;41284;"2021-12-19";68526.87
203;15375;"2023-03-20";72759.71
204;34005;"2022-12-29";20925.12
205;16241;"2025-08-13";56632.05
206;40445;"2021-03-15";5642.04
207;48432;"2023-10-14";99137.43
208;25981;"2024-11-02";70512.88
209;25352;"2022-01-11";56841.19
210;9308;"2022-06-23";13118.46
211;38199;"2023-02-16";64723.69
212;46915;"2022-06-04";57248.1
213;32494;"2024-12-23";32308.39
214;31192;"2021-07-04";49936.52
215;26568;"2025-02-13";99228.46
216;1273;"2020-12-31";21695.39
217;20010;"2020-12-13";61178.72
218;42433;"2024-11-19";99026.66
219;49404;"2021-01-09";869.61
220;35328;"2025-02-19";89554.73
221;14457;"2025-08-25";42190.29
222;14147;"2024-02-25";42317.73
223;32126;"2023-12-27";39898.49
224;33743;"2025-10-01";96683.67
225;271;"2023-04-05";44020.7
226;28039;"2023-03-01";71077.8
227;29150;"2021-02-05";20791.77
228;20561;"2021-12-06";86343.43
229;20847;"2023-02-27";52702.02
230;14924;"2024-05-20";60986.24
231;9042;"2023-03-31";22215.02
232;34392;"2022-09-14";43067.34
233;36278;"2022-07-03";13193.62
234;39163;"2021-09-23";18374.19
235;20669;"2025-04-20";28243.94
236;46416;"2022-10-23";99596.59
237;20947;"2021-02-11";77396.02
238;23347;"2021-03-27";9397.24
239;36604;"2021-01-31";55709.06
240;37703;"2023-09-01";86018.02
241;14290;"2022-06-03";19082.3
242;37356;"2025-08-19";19578.21
243;48625;"2021-12-18";45211.87
244;11051;"2024-08-30";39167.48
245;13114;"2021-08-12";26553.48
246;11252;"2021-10-04";43803.89
247;12760;"2021-12-08";49687.32
248;23188;"2021-03-13";88943.91
249;18868;"2025-03-05";71562.27
250;3323;"2024-09-13";1489.65
251;16952;"2021-05-16";32122.15
252;25391;"2022-03-30";45215.2
253;20167;"2023-07-07";70660.04
254;29774;"2022-01-09";35054.29
255;14752;"2021-06-20";17975.71
256;48596;"2023-12-01";54562.51
257;45488;"2023-05-11";23805.9
258;14860;"2023-03-16";62943.4
259;14546;"2024-02-28";33451.63
260;27300;"2021-03-26";47153.97
261;11960;"2025-07-12";26287.08
262;255;"2024-04-09";6851.7
263;26307;"2025-04-04";70871.19
264;43131;"2023-03-31";65638.53
265;12984;"2023-09-06";99213.87
266;18945;"2025-01-21";34519.78
267;21721;"2020-12-20";87674.65
268;9247;"2025-08-06";66953.98
269;34156;"2021-10-15";5966.85
270;30560;"2025-03-25";96054.24
271;20090;"2024-10-06";37334.97
272;8368;"2023-11-24";82629.1
273;37740;"2021-09-22";21142.89
274;25606;"2024-08-28";2365.37
275;19971;"2023-04-26";49897.11
276;26523;"2023-11-08";57214.76
277;8226;"2023-05-19";34884.67
278;29501;"2023-06-12";99897.16
279;10311;"2022-08-17";30536.66
280;44860;"2023-05-07";46427.9
281;31447;"2023-12-06";59292.27
282;26077;"2021-10-25";7514.39
283;45617;"2021-10-26";25864.35
284;18438;"2024-04-10";3308.26
285;40488;"2021-03-19";20245.37
286;38330;"2024-11-08";7767.41
287;30643;"2023-02-26";37217.13
288;34298;"2023-04-01";41376.45
289;44400;"2023-10-02";90018.69
290;34136;"2022-02-14";4530.39
291;23204;"2022-07-27";62558.74
292;19019;"2021-09-14";13774.91
293;16201;"2021-07-10";25527.75
294;23165;"2023-02-10";65779.79
295;6247;"2025-01-02";51828.44
296;36633;"2023-12-25";44835.94
297;2540;"2023-05-15";33666.48
298;19151;"2021-04-12";38850.66
299;12652;"2023-12-27";97104.21
300;8777;"2021-02-04";15054.07
301;3290;"2021-08-03";87054.19
302;39798;"2022-09-05";49655.24
303;24573;"2025-05-30";96733.07
304;1356;"2025-08-29";24461.93
305;42993;"2021-05-17";37364.79
306;18342;"2021-12-21";89553.77
307;20655;"2025-11-26";94953.37
308;3930;"2022-04-17";9920.83
309;49837;"2023-05-21";76751.13
310;18492;"2024-07-05";54729.13
311;32404;"2024-09-11";88266.67
312;31192;"2022-11-30";16632.62
313;46164;"2022-04-12";16818.69
314;14465;"2023-02-24";63841.03
315;6097;"2025-09-29";36825.42
316;25195;"2022-09-27";38888.93
317;19374;"2022-05-17";84036.46
318;23603;"2024-02-23";69859.23
319;8428;"2021-03-11";77355.77
320;29075;"2020-12-11";13775.9
321;44157;"2021-01-16";58554.54
322;34403;"2021-01-22";92883.59
323;38586;"2022-04-01";56221.62
324;34116;"2022-03-24";53736.91
325;3908;"2023-03-11";52531.2
326;19332;"2025-03-10";59534.22
327;36527;"2024-10-22";66680.04
328;1494;"2022-02-06";20696.28
329;17470;"2021-04-23";26434.85
330;27792;"2021-07-12";99197.56
331;40839;"2021-02-11";7314.6
332;19825;"2023-07-12";92792.56
333;32430;"2024-07-14";97904.75
334;44505;"2023-11-09";42718.73
335;27374;"2024-04-03";74192.29
336;45062;"2022-08-11";97341.88
337;17454;"2021-02-02";88105.54
338;27716;"2025-11-01";41192.85
339;9256;"2021-10-17";46807.73
340;31533;"2024-12-13";44600.87
341;27768;"2024-12-16";84704.13
342;7271;"2025-01-01";88823.69
343;2737;"2023-03-30";77226.99
344;32423;"2021-08-10";22962.64
345;14059;"2024-09-05";36426.14
346;35789;"2025-11-19";81360.18
347;39815;"2024-07-12";21622.93
348;26818;"2021-06-30";65269.31
349;5456;"2020-12-16";8746.85
350;14215;"2024-02-17";45418.49
351;10310;"2023-02-03";33982.18
352;31857;"2022-01-27";52981.31
353;43100;"2021-02-09";16774.79
354;16214;"2023-01-15";91032.22
355;2388;"2024-06-04";72760.55
356;10194;"2024-01-20";45020.29
357;7654;"2023-09-23";62550.37
358;46887;"2024-06-27";12390.61
359;37521;"2022-12-20";5008.44
360;1298;"2024-01-21";45356.66
361;47556;"2022-03-07";42991.53
362;1351;"2025-02-01";19364.23
363;45340;"2022-12-12";59957.2
364;1595;"2021-04-01";62229.91
365;23582;"2023-01-29";60046.05
366;42869;"2021-08-11";3102.14
367;2510;"2022-04-14";8464.93
368;43884;"2023-11-13";48621.89
369;49074;"2022-01-18";2728.03
370;6497;"2025-02-16";49097.27
371;14029;"2024-06-04";15013.49
372;43940;"2021-09-07";65681.98
373;35951;"2021-11-16";52004.78
374;6013;"2022-10-05";85011.55
375;41561;"2021-09-14";50265.69
376;45597;"2022-07-12";18967.18
377;9866;"2022-06-17";35020.17
378;7561;"2023-04-21";34537.56
379;48054;"2021-05-29";42013.38
380;19566;"2021-08-02";69036.68
381;7762;"2023-03-06";54058.12
382;15348;"2022-04-13";77881.5
383;40969;"2023-09-22";23315.17
384;13405;"2022-05-08";11507.64
385;9171;"2021-01-01";25804.35
386;947;"2024-05-28";96445.31
387;25587;"2025-05-19";27637.04
388;9538;"2021-11-10";57470.2
389;4108;"2025-12-03";23667.68
390;33371;"2022-04-07";67130.14
391;22642;"2024-06-02";40413.38
392;15924;"2021-11-13";60432.73
393;45440;"2025-05-08";897.44
394;5907;"2024-05-05";62569.84
395;1973;"2025-04-27";68612.46
396;22145;"2025-10-10";69998.69
397;43065;"2021-07-15";34227.29
398;5935;"2024-04-23";53434.56
399;12295;"2024-04-07";59647.26
400;2141;"2023-07-24";62548.61
401;36174;"2023-05-13";9660.52
402;14187;"2021-06-13";94080.99
403;36772;"2024-06-07";8422.87
404;14312;"2022-11-07";35600.43
405;43101;"2025-06-03";66111.35
406;4840;"2021-04-10";87735.95
407;5212;"2021-09-11";74865.01
408;11719;"2022-09-10";21047.43
409;9530;"2021-06-14";22288.06
410;1300;"2022-07-01";16360.38
411;36912;"2022-03-18";54265.0
412;23451;"2024-09-14";51265.94
413;33914;"2022-04-27";89475.17
414;34954;"2024-06-23";87149.06
415;36212;"2021-06-11";66254.19
416;41745;"2024-09-12";48647.57
417;34412;"2021-12-18";35546.74
418;19962;"2022-10-05";87315.0
419;45467;"2023-01-24";27340.29
420;11168;"2022-05-24";30672.13
421;22993;"2023-03-15";74534.65
422;37628;"2023-08-07";28355.48
423;14020;"2024-05-26";3492.26
424;46408;"2024-03-27";45447.56
425;36000;"2025-05-17";80660.72
426;28040;"2024-07-10";82758.33
427;18720;"2023-11-19";33110.45
428;37502;"2025-05-05";40821.64
429;3349;"2025-08-10";88422.97
430;6908;"2024-02-10";54640.12
431;48896;"2022-01-06";66424.18
432;2040;"2023-01-23";70161.07
433;34357;"2025-12-03";45349.67
434;34945;"2023-09-12";50270.43
435;37744;"2024-11-12";98053.58
436;17729;"2025-04-17";73837.65
437;21740;"2025-07-10";90423.68
438;47205;"2022-06-02";59533.73
439;48455;"2021-04-10";74487.29
440;4292;"2021-02-25";19693.57
441;35528;"2025-07-03";16711.1
442;22661;"2025-11-26";15690.5
443;43472;"2023-08-30";21036.6
444;45328;"2024-08-05";33511.01
445;1863;"2025-05-16";10066.22
446;20324;"2024-09-02";7881.36
447;22610;"2024-11-26";95414.23
448;37362;"2021-05-27";19495.46
449;37987;"2024-11-17";98838.72
450;5145;"2024-05-18";88168.97
451;40964;"2023-09-12";37312.65
452;17816;"2021-04-02";36292.34
453;22959;"2022-12-16";22768.53
454;39036;"2022-04-04";5853.83
455;37956;"2021-05-08";13439.09
456;27342;"2025-06-21";41270.8
457;35659;"2022-03-26";13523.29
458;30830;"2025-02-27";12673.38
459;722;"2022-06-11";54332.76
460;43793;"2022-03-30";92713.3
461;45880;"2023-04-22";47031.98
462;4110;"2025-03-26";31074.93
463;40131;"2021-08-27";19749.2
464;936;"2024-10-13";55683.7
465;46628;"2021-05-14";66259.5
466;5463;"2024-04-08";17949.28
467;35414;"2021-01-31";22970.48
468;49545;"2021-03-25";11935.63
469;17620;"2021-05-24";20388.8
470;29534;"2023-03-25";62144.91
471;7269;"2025-01-10";8267.07
472;14498;"2024-08-07";46194.39
473;29798;"2023-03-25";66459.05
474;13269;"2021-10-08";38783.81
475;41023;"2022-10-31";28928.28
476;30766;"2025-03-27";45655.07
477;3400;"2023-10-11";27281.08
478;46669;"2022-12-27";73659.46
479;19156;"2024-01-25";29967.69
480;32436;"2024-08-24";61357.69
481;14904;"2024-11-15";93699.46
482;4235;"2023-03-11";4570.86
483;33865;"2022-11-22";65110.34
484;15704;"2024-04-03";96344.73
485;8626;"2023-09-09";67024.49
486;35556;"2021-11-27";50968.19
487;21845;"2022-01-30";44526.46
488;37820;"2023-03-27";85699.63
489;9552;"2023-04-04";59681.7
490;9039;"2024-08-04";18922.88
491;30009;"2024-08-04";26229.99
492;43319;"2023-02-07";42111.81
493;24165;"2021-04-22";81226.24
494;4671;"2022-03-21";80896.81
495;44491;"2021-06-28";94698.2
496;11909;"2021-04-19";66725.52
497;22207;"2024-04-26";52372.87
498;28719;"2023-01-09";69829.17
499;19304;"2021-11-22";91132.75
500;36179;"2022-05-29";20393.93
501;37600;"2021-10-07";16309.95
502;43966;"2021-10-05";86232.27
503;19231;"2023-07-05";35554.35
504;30315;"2022-12-17";93104.46
505;25890;"2022-02-24";13179.38
506;34973;"2024-10-07";49057.28
507;39314;"2021-07-21";21757.24
508;16191;"2024-11-20";42886.29
509;49286;"2025-09-03";62638.1
510;11847;"2022-02-16";84731.29
511;15948;"2021-05-10";48281.46
512;40197;"2021-09-16";57502.27
513;46872;"2022-05-14";65210.61
514;6641;"2021-07-10";85841.18
515;17320;"2025-01-16";37300.06
516;2936;"2021-10-02";84821.01
517;38413;"2022-11-25";89475.83
518;40004;"2024-01-16";32928.53
519;41458;"2021-06-09";50584.51
520;19835;"2022-10-19";58730.78
521;44291;"2022-05-23";77350.22
522;3181;"2024-03-28";69286.82
523;4402;"2025-06-19";56081.28
524;7064;"2025-02-27";81416.46
525;3188;"2022-02-09";89258.18
526;15025;"2021-06-05";86467.51
527;39953;"2024-07-22";67877.59
528;32467;"2021-02-09";60651.73
529;30128;"2022-04-19";59268.07
530;8458;"2023-12-24";87820.1
531;34710;"2023-10-07";7304.85
532;36051;"2021-10-06";54959.32
533;35166;"2025-03-18";21515.67
534;28272;"2022-09-23";91552.71
535;29716;"2022-06-22";18520.52
536;11976;"2024-09-28";96158.29
537;3298;"2022-12-14";29620.27
538;16527;"2022-03-02";59779.82
539;41538;"2025-03-24";47220.82
540;12806;"2022-12-24";22747.29
541;19110;"2023-12-13";1281.12
542;11173;"2021-08-17";89950.64
543;41515;"2025-07-25";31141.05
544;5377;"2025-05-17";51779.56
545;13094;"2021-09-03";67282.17
546;39756;"2024-08-11";76087.87
547;28179;"2023-12-24";61155.06
548;28948;"2023-02-10";74960.08
549;8544;"2022-05-26";35268.24
550;15130;"2022-10-12";6807.84
551;39811;"2024-06-19";27696.13
552;14931;"2022-10-11";11797.72
553;687;"2024-07-19";23435.16
554;32008;"2022-04-22";77665.29
555;8327;"2025-03-07";45672.51
556;23084;"2024-11-20";94783.98
557;38636;"2022-01-04";71343.15
558;36597;"2025-02-18";65910.81
559;42018;"2022-08-14";96746.76
560;33979;"2023-10-25";56461.62
561;43644;"2023-06-27";51845.98
562;19994;"2023-09-23";2484.45
563;42803;"2021-12-28";65634.9
564;26630;"2023-04-16";9603.43
565;40825;"2021-02-19";30486.02
566;17785;"2021-10-09";34125.89
567;7698;"2021-12-01";28887.94
568;14956;"2022-04-27";38477.34
569;31969;"2024-03-22";65069.11
570;1594;"2023-12-05";83320.92
571;21719;"2025-10-24";80571.37
572;10175;"2022-03-18";83073.52
573;6433;"2021-03-04";3158.34
574;44404;"2021-12-10";73258.01
575;47027;"2023-02-22";18632.82
576;46141;"2023-05-21";91348.99
577;15934;"2023-11-05";84658.68
578;16330;"2025-10-22";85243.43
579;37488;"2022-09-10";94515.29
580;1560;"2024-09-10";84244.58
581;8312;"2021-03-27";10893.83
582;20181;"2022-07-02";56635.95
583;2985;"2021-02-17";38470.12
584;31114;"2024-08-19";81098.21
585;45393;"2025-08-21";13354.99
586;5165;"2021-09-05";71783.68
587;43504;"2022-12-07";22998.78
588;4505;"2023-09-27";49624.92
589;49140;"2024-12-29";45545.59
590;29140;"2025-07-25";52082.22
591;36552;"2023-03-04";99093.39
592;49021;"2023-04-07";43150.72
593;22523;"2023-01-10";43619.72
594;29843;"2021-10-13";61345.56
595;1879;"2022-03-27";61857.53
596;29748;"2021-11-12";33027.57
597;1549;"2023-07-06";49764.36
598;8532;"2021-11-12";38419.94
599;1260;"2025-11-10";63733.51
600;34068;"2022-12-06";83559.56
601;2520;"2023-06-13";22028.07
602;6639;"2025-10-21";19137.75
603;39654;"2022-03-04";12586.94
604;16527;"2023-06-06";51687.87
605;44017;"2025-11-09";10685.02
606;42957;"2022-06-19";57651.54
607;26310;"2023-04-10";74540.71
608;43128;"2023-07-05";59582.12
609;46072;"2024-04-06";3639.97
610;18599;"2022-07-31";17549.05
611;49072;"2023-12-12";26646.1
612;1888;"2021-12-19";40983.51
613;18768;"2023-02-28";81406.93
614;14407;"2025-02-14";31845.33
615;31892;"2023-02-07";50871.28
616;16162;"2024-05-18";18800.76
617;41307;"2023-06-28";70579.35
618;45487;"2023-08-11";99136.83
619;43000;"2023-08-28";61733.03
620;30981;"2022-12-22";29460.31
621;21361;"2024-10-07";70291.29
622;13861;"2023-03-01";39512.35
623;15434;"2022-03-21";21387.27
624;38820;"2022-06-11";6602.14
625;48731;"2022-03-12";29108.49
626;20735;"2024-08-27";14422.92
627;29745;"2021-05-30";99986.57
628;30372;"2025-03-22";48154.8
629;28652;"2023-10-14";89051.08
630;41861;"2023-02-17";85650.19
631;46031;"2021-12-02";97841.47
632;46431;"2021-07-01";76131.68
633;11636;"2022-07-17";90677.19
634;20793;"2023-09-15";15929.86
635;3617;"2020-12-19";16296.66
636;4833;"2025-11-20";12798.87
637;47671;"2025-03-03";10190.73
638;28688;"2022-11-05";78382.93
639;36980;"2025-08-10";9184.07
640;19242;"2024-10-24";26727.6
641;34181;"2022-09-21";76795.26
642;16573;"2025-01-10";32406.83
643;17637;"2024-09-07";88292.59
644;41251;"2021-10-09";90600.65
645;32771;"2023-01-05";43519.46
646;42483;"2023-08-24";32486.26
647;38782;"2025-07-11";66041.57
648;47239;"2024-11-27";76309.72
649;48186;"2022-11-30";96503.41
650;9088;"2023-03-31";76021.53
651;5864;"2025-06-08";34202.19
652;48508;"2022-02-13";62526.97
653;36307;"2021-08-04";52080.93
654;45216;"2025-08-26";13191.26
655;37879;"2022-06-27";60936.88
656;8197;"2025-10-24";4073.93
657;23305;"2024-12-08";39250.56
658;39630;"2024-03-06";95697.61
659;27000;"2024-06-02";62310.04
660;20116;"2023-12-14";90223.29
661;16719;"2023-01-13";10961.45
662;18433;"2022-05-22";30327.97
663;17595;"2024-05-20";53424.75
664;32026;"2025-08-28";41756.61
665;10226;"2023-10-08";27310.2
666;12576;"2025-10-18";10838.01
667;44067;"2021-02-02";55787.8
668;25435;"2025-10-15";70861.43
669;30436;"2025-03-13";62418.79
670;47976;"2023-05-14";56636.29
671;35069;"2021-04-27";78699.07
672;48869;"2024-05-20";85351.08
673;9204;"2022-03-04";61294.24
674;31995;"2025-01-04";41052.1
675;39802;"2024-01-29";59057.98
676;26039;"2022-02-18";51187.24
677;38862;"2021-08-26";75031.02
678;28908;"2021-05-17";11614.24
679;712;"2021-05-12";50788.4
680;41750;"2022-09-24";23624.97
681;33933;"2025-10-26";99917.43
682;2031;"2022-08-22";58323.77
683;5976;"2024-04-30";83771.73
684;11453;"2022-07-04";91756.24
685;38159;"2023-07-03";40940.17
686;10478;"2025-11-30";17009.24
687;2849;"2024-11-24";91161.5
688;48311;"2021-01-30";55315.83
689;15115;"2022-07-01";33874.6
690;44435;"2024-10-30";15384.99
691;31126;"2024-01-10";9426.42
692;11460;"2021-04-15";42205.16
693;6733;"2024-09-29";88247.26
694;37201;"2025-06-08";64894.57
695;44118;"2022-01-02";39128.99
696;41027;"2022-07-15";96309.3
697;33507;"2023-06-03";9569.42
698;26340;"2022-03-04";94880.53
699;27437;"2021-08-09";94399.47
700;47428;"2024-12-31";99247.26
701;16170;"2023-04-23";5575.96
702;1764;"2025-04-07";47034.86
703;28047;"2025-01-12";91995.57
704;16672;"2022-08-31";82006.68
705;9522;"2025-02-26";76288.12
706;1329;"2021-01-26";32901.1
707;29775;"2022-09-12";29216.14
708;273;"2025-04-21";1189.24
709;47501;"2023-09-28";64255.89
710;43239;"2022-04-15";56654.02
711;9641;"2022-10-14";68512.88
712;32032;"2021-03-05";22459.17
713;23446;"2023-02-25";71828.92
714;19281;"2022-01-18";72105.96
715;42896;"2022-08-02";2341.18
716;31560;"2022-12-11";89909.43
717;48750;"2024-11-09";40234.34
718;48347;"2023-06-25";20695.33
719;47625;"2023-03-25";42843.76
720;35183;"2023-06-02";8105.55
721;11515;"2025-02-14";34262.69
722;31858;"2021-02-06";8731.19
723;23311;"2022-08-19";35591.9
724;3609;"2022-08-24";18853.05
725;49292;"2021-09-15";30427.26
726;33499;"2021-04-22";65052.14
727;39215;"2025-12-04";80466.11
728;44062;"2025-01-26";28374.82
729;39343;"2025-05-29";82107.21
730;5566;"2023-02-05";64454.38
731;29900;"2021-10-09";77353.73
732;17300;"2025-04-09";1029.87
733;32319;"2024-07-26";32623.51
734;26121;"2022-05-04";13664.3
735;40932;"2025-08-07";48343.12
736;10011;"2024-09-27";93712.95
737;48290;"2023-12-10";31559.43
738;24768;"2021-08-31";95033.12
739;19426;"2023-09-03";33574.77
740;7695;"2024-01-21";88558.17
741;43023;"2022-10-03";64712.63
742;10011;"2022-06-21";62122.96
743;6865;"2022-06-21";42700.89
744;6146;"2024-01-05";36235.41
745;45071;"2024-12-18";38686.13
746;39370;"2021-09-07";32172.55
747;9658;"2022-10-25";10127.67
748;35723;"2022-11-09";76528.92
749;36037;"2025-10-04";98507.8
750;19889;"2021-06-19";65494.84
751;49179;"2024-11-08";88590.03
752;43065;"2023-11-05";40202.57
753;21903;"2023-07-25";88690.03
754;19044;"2021-05-04";10645.61
755;25385;"2021-01-24";72213.31
756;15337;"2022-03-10";52140.29
757;11399;"2021-10-09";96739.88
758;22470;"2024-11-13";6086.68
759;44100;"2023-12-20";7795.69
760;14534;"2023-07-25";17460.35
761;18196;"2025-05-22";55897.82
762;29207;"2022-03-06";74277.05
763;44318;"2022-07-10";90451.74
764;23248;"2021-10-06";85937.09
765;30044;"2021-09-08";29102.6
766;337;"2022-02-07";68660.75
767;32303;"2025-09-15";78527.05
768;17172;"2024-03-17";55959.68
769;49123;"2024-10-05";53511.97
770;13449;"2023-09-30";34127.24
771;33076;"2025-01-28";61259.77
772;41737;"2022-01-05";70892.6
773;8379;"2023-07-23";35377.24
774;18600;"2023-04-26";60534.03
775;18118;"2024-12-06";64202.24
