"card_txn_id";"card_id";"amount";"txn_date";"merchant_name";"city"
26;42144;17593.58;"2024-04-12 12:42:33";"Saraf, Khurana and Subramanian";"Kolhapur"
27;32317;9323.18;"2025-10-19 20:00:45";"Ghosh, Palla and Ganesan";"Pune"
28;32009;15342.12;"2025-09-03 14:47:46";"Divan Ltd";"Ahmednagar"
29;11463;8625.61;"2025-03-15 00:44:38";"Mukherjee, Ramaswamy and Mall";"Thane"
30;31726;98.72;"2025-02-20 23:34:05";"Pandey-Keer";"Aurangabad"
31;41180;16316.15;"2025-10-18 09:44:53";"Chokshi Group";"Pune"
32;28258;13149.61;"2024-01-12 11:28:53";"Kuruvilla Ltd";"Satara"
33;7568;11112.98;"2024-09-08 23:14:02";"Wason PLC";"Kolhapur"
34;32816;3691.17;"2024-03-07 20:18:04";"Parsa-Saini";"Nagpur"
35;47849;10000.76;"2024-11-19 11:00:57";"Johal, Banik and Narula";"Ahmednagar"
36;22257;17706.46;"2025-03-30 11:58:22";"Amble-Batta";"Thane"
37;27101;3589.56;"2025-04-25 13:27:48";"Ramachandran-Choudhury";"Solapur"
38;30334;1494.75;"2025-02-03 03:49:27";"Parmar, Sur and Hayer";"Ahmednagar"
39;1910;8937.31;"2024-11-11 08:49:10";"Parekh Ltd";"Mumbai"
40;46794;12499.99;"2025-10-13 04:40:40";"Mani Ltd";"Aurangabad"
41;47215;4576.92;"2024-03-15 21:09:24";"Kumar Inc";"Solapur"
42;12408;14457.19;"2023-12-25 13:09:04";"Sankar PLC";"Satara"
43;12446;13452.22;"2024-07-16 19:55:01";"Salvi, Apte and Kumar";"Kolhapur"
44;22638;15549.74;"2024-10-28 11:34:36";"Narayan, Sachdev and Chawla";"Nagpur"
45;39809;7292.97;"2024-12-20 04:46:12";"Issac, Brahmbhatt and Raj";"Solapur"
46;37842;17328.19;"2025-09-09 20:24:58";"Walia Inc";"Ahmednagar"
47;6726;1496.07;"2024-06-30 08:38:49";"Bala Ltd";"Satara"
48;5628;11766.07;"2024-12-19 22:50:08";"Dugal, Anand and Lall";"Pune"
49;4990;14414.24;"2024-12-09 22:50:29";"Merchant-Roy";"Nagpur"
50;38277;10093.06;"2023-12-23 16:36:48";"Dubey-Tandon";"Thane"
51;49520;4869.71;"2024-04-09 13:00:15";"Pandey Group";"Nagpur"
52;42708;2941.79;"2024-01-11 22:54:04";"Tank PLC";"Mumbai"
53;22632;9596.73;"2024-03-06 04:38:17";"Jaggi, Bhasin and Tiwari";"Nashik"
54;42005;11049.47;"2025-07-28 13:46:04";"Kadakia-Kurian";"Nashik"
55;27000;14894.22;"2025-11-02 15:59:17";"Dube, Choudhury and Vasa";"Kolhapur"
56;374;6054.22;"2024-07-29 13:01:05";"Sethi, Dugal and Kumer";"Nashik"
57;35370;12883.64;"2025-05-04 04:58:21";"Din-Gara";"Aurangabad"
58;21968;14981.34;"2024-04-21 03:59:43";"Sami-Bora";"Nagpur"
59;15442;9459.71;"2025-11-07 07:36:54";"Bhagat-Tripathi";"Ahmednagar"
60;16334;19724.41;"2024-06-28 11:50:50";"Boase, Panchal and Bala";"Ahmednagar"
61;26940;5843.71;"2024-10-02 10:03:09";"Samra, Varty and Prabhakar";"Pune"
62;47076;11346.02;"2024-08-03 10:18:53";"Bakshi, Deep and Zachariah";"Ahmednagar"
63;9603;9410.67;"2024-09-17 01:17:59";"Sant-Bhatnagar";"Aurangabad"
64;20081;14237.39;"2024-06-21 05:22:38";"Mukherjee, Shah and Barad";"Pune"
65;39884;12687.37;"2025-05-21 08:58:05";"Kuruvilla, Ghose and Barman";"Mumbai"
66;15248;10451.09;"2024-08-07 01:36:32";"Kuruvilla, Lad and Goyal";"Thane"
67;49676;458.01;"2024-05-17 12:31:54";"Chhabra-Shetty";"Thane"
68;39340;15618.02;"2025-04-21 04:06:17";"Koshy, Ben and Vasa";"Nagpur"
69;28888;18367.01;"2025-02-02 11:47:36";"Ratta, Parikh and Kothari";"Satara"
70;11881;6301.21;"2024-07-07 05:38:56";"Amble-Minhas";"Nashik"
71;35964;2303.44;"2024-03-05 14:33:14";"Toor-Pal";"Kolhapur"
72;30086;11416.49;"2024-10-24 00:04:47";"Andra-Ramakrishnan";"Mumbai"
73;26625;14088.08;"2024-08-05 14:31:18";"Saxena-Chakrabarti";"Ahmednagar"
74;34848;7066.32;"2025-09-14 11:00:23";"Bahri-Randhawa";"Aurangabad"
75;48754;14421.32;"2025-08-15 21:47:58";"Edwin-Nayak";"Ahmednagar"
76;13609;16597.66;"2024-04-04 01:59:29";"Banerjee Group";"Pune"
77;13964;1437.3;"2025-06-30 21:15:49";"Vasa, Choudhry and Acharya";"Aurangabad"
78;20328;19788.74;"2025-06-19 09:53:26";"Mahal-Sridhar";"Solapur"
79;29407;6395.34;"2025-09-10 09:32:54";"Nazareth-Dugar";"Ahmednagar"
80;39362;11633.39;"2024-04-15 22:43:28";"Ahuja, Soni and Keer";"Pune"
81;11692;10984.22;"2024-09-03 22:31:47";"Narang Group";"Satara"
82;38654;15257.68;"2024-01-30 06:32:08";"Joshi, Kar and Gara";"Mumbai"
83;8143;12018.52;"2024-11-23 10:17:22";"Nanda, Parmar and Verma";"Mumbai"
84;12582;6952.42;"2025-06-03 08:50:20";"Balan LLC";"Aurangabad"
85;29257;3157.94;"2024-12-07 14:44:43";"Srinivas-Gopal";"Ahmednagar"
86;18719;15692.11;"2024-01-25 17:52:14";"Chhabra-Pall";"Solapur"
87;28568;2958.07;"2025-11-05 01:47:04";"Buch, Chandra and Khosla";"Kolhapur"
88;44851;3053.89;"2025-07-20 14:35:08";"Aggarwal-Butala";"Solapur"
89;47032;7088.33;"2024-10-04 15:55:57";"Bath, Sodhi and Dayal";"Solapur"
90;16874;10079.75;"2024-06-30 08:11:01";"Wagle, Varughese and Sharaf";"Satara"
91;14685;8620.11;"2025-06-08 19:33:05";"Shukla Inc";"Aurangabad"
92;36677;11176.13;"2025-11-15 08:10:53";"Saxena, Vasa and Nath";"Kolhapur"
93;5794;8195.06;"2024-10-14 11:58:36";"Chanda Ltd";"Aurangabad"
94;23093;7758.75;"2025-09-30 17:31:04";"Aurora and Sons";"Mumbai"
95;33047;14957.08;"2024-09-26 07:12:21";"Narang Inc";"Nashik"
96;14148;12044.08;"2025-12-08 17:51:41";"Srinivasan LLC";"Nagpur"
97;2130;1508.78;"2025-05-03 22:39:12";"Gera, Srivastava and Pillay";"Pune"
98;5657;7604.11;"2024-03-10 15:58:18";"Parsa PLC";"Pune"
99;44699;14561.58;"2025-09-20 11:21:18";"Lanka-Biswas";"Pune"
100;1223;16322.93;"2024-03-14 12:29:16";"Saran-Kota";"Satara"
101;43860;4785.78;"2024-06-04 07:46:56";"Datta Ltd";"Satara"
102;31747;12706.7;"2024-11-21 20:13:32";"Pau and Sons";"Mumbai"
103;40026;13403.43;"2025-11-23 20:45:26";"Suresh-Soman";"Aurangabad"
104;29600;13732.57;"2024-11-19 21:50:15";"Purohit, Nair and Bath";"Nagpur"
105;16745;16934.04;"2024-01-08 10:21:48";"Madan-Khatri";"Pune"
106;542;3716.1;"2024-03-20 05:14:14";"Aggarwal, Wason and Badami";"Solapur"
107;14873;8886.96;"2025-02-17 13:32:07";"Sachdev and Sons";"Pune"
108;2795;2572.26;"2025-08-15 21:54:09";"Ben Ltd";"Satara"
109;22559;18739.1;"2024-11-14 12:11:41";"Brar PLC";"Kolhapur"
110;15714;3294.46;"2024-03-21 19:30:47";"Prabhu, Gara and Lanka";"Thane"
111;36774;11284.28;"2025-08-23 17:08:17";"Narayanan Inc";"Solapur"
112;25391;9514.65;"2024-06-12 05:06:05";"Kothari-Choudhary";"Mumbai"
113;5289;10249.98;"2025-10-27 17:43:03";"Mistry PLC";"Pune"
114;13864;8899.23;"2025-04-25 19:54:48";"Nagy Inc";"Aurangabad"
115;33719;4240.98;"2024-01-23 07:39:45";"Badami LLC";"Ahmednagar"
116;44932;16998.58;"2024-11-01 23:01:28";"Dayal, Grewal and Grewal";"Kolhapur"
117;22649;15421.3;"2025-10-23 07:19:39";"Babu-Divan";"Thane"
118;29552;9082.44;"2024-09-25 20:41:38";"Lata-Chhabra";"Aurangabad"
119;16313;12347.22;"2025-06-02 06:44:51";"Brar, Kulkarni and Palan";"Nashik"
120;44028;12145.29;"2024-05-20 15:17:02";"Choudhry LLC";"Satara"
121;380;2375.17;"2025-10-23 09:11:34";"Nagar-Sagar";"Mumbai"
122;36797;14678.09;"2023-12-16 17:52:04";"Borde, Oak and Yogi";"Satara"
123;26198;1872.05;"2024-03-07 06:55:41";"Banik, Swaminathan and Vig";"Ahmednagar"
124;36362;6368.81;"2024-08-12 08:07:57";"Bala-Uppal";"Aurangabad"
125;17524;10366.13;"2023-12-18 15:40:45";"Desai-Virk";"Aurangabad"
126;9416;12667.27;"2024-11-29 02:12:08";"Sem-Sen";"Solapur"
127;2988;11982.82;"2025-04-03 03:14:32";"Taneja LLC";"Pune"
128;39161;6660.04;"2025-06-06 17:10:50";"Chadha-Sachdeva";"Solapur"
129;2435;10753.46;"2025-11-01 02:05:04";"Morar, Babu and Naidu";"Thane"
130;17276;8946.4;"2025-07-23 22:06:32";"Chatterjee Ltd";"Thane"
131;9972;17372.53;"2025-08-06 10:04:12";"Virk-Karpe";"Pune"
132;46569;8296.42;"2025-11-11 15:59:10";"Dave Group";"Kolhapur"
133;35359;11093.94;"2025-05-31 17:01:07";"Grewal Inc";"Nashik"
134;23318;13700.18;"2025-07-27 08:32:33";"Baral-Dani";"Thane"
135;42666;7447.19;"2024-04-04 14:28:07";"Kumer, Lall and Sarma";"Satara"
136;8255;8881.88;"2025-10-07 23:21:29";"Mangal, Savant and Jhaveri";"Mumbai"
137;15400;1691.54;"2025-02-26 11:44:21";"Dhar-Manne";"Satara"
138;28242;10121.06;"2024-01-10 11:00:13";"Vora-Ratti";"Solapur"
139;26267;13186.14;"2024-05-23 10:34:30";"Pall and Sons";"Mumbai"
140;31188;19556.44;"2025-01-15 00:36:13";"Bhargava-Pingle";"Thane"
141;46908;11329.12;"2025-02-09 21:39:51";"Kanda Inc";"Mumbai"
142;4381;18851.11;"2025-05-31 05:01:01";"Kari PLC";"Thane"
143;26999;11234.04;"2025-12-04 18:07:45";"Chada, Mani and Gandhi";"Pune"
144;39638;12422.68;"2025-06-22 10:17:39";"Sarraf, Aurora and Jain";"Pune"
145;2056;19170.63;"2025-11-25 00:03:58";"Pillai Inc";"Mumbai"
146;31598;18402.7;"2023-12-22 08:40:07";"Barad, Shetty and Salvi";"Kolhapur"
147;2664;190.38;"2025-08-10 07:49:32";"Rama-Manne";"Thane"
148;22173;10134.2;"2025-05-25 21:55:32";"Raghavan-Krish";"Solapur"
149;29383;7499.32;"2025-09-22 06:58:45";"Mutti-Iyer";"Mumbai"
150;21471;8562.47;"2024-05-28 20:35:05";"Goyal, Lalla and Bhat";"Kolhapur"
151;3166;16389.1;"2024-08-21 14:12:09";"Keer Group";"Aurangabad"
152;46700;7078.69;"2025-11-22 21:05:33";"Mutti-Kibe";"Pune"
153;10912;107.77;"2024-04-30 06:38:42";"Maharaj, Gala and Panchal";"Mumbai"
154;21334;6348.14;"2024-09-11 03:31:09";"Chanda Ltd";"Kolhapur"
155;40087;13608.21;"2024-05-15 19:54:20";"Garg, Kashyap and Rout";"Ahmednagar"
156;21980;8450.54;"2025-03-09 00:14:19";"Purohit, Gade and Din";"Ahmednagar"
157;7358;11839.69;"2025-05-05 14:54:42";"Choudhury, Buch and Srinivas";"Ahmednagar"
158;23671;4338.42;"2024-09-12 03:52:45";"Ray-Batta";"Nagpur"
159;18688;14971.19;"2025-05-01 10:54:07";"Nayar-Soman";"Nashik"
160;16418;946.77;"2024-04-25 07:14:22";"Sood, Bhatt and Kalla";"Aurangabad"
161;42202;549.21;"2024-01-17 07:13:12";"Devan, Bhattacharyya and Bhavsar";"Ahmednagar"
162;33108;3014.42;"2025-10-10 07:05:42";"Yohannan, Jha and Natarajan";"Kolhapur"
163;17777;7789.65;"2024-09-23 22:38:55";"Gokhale, Bala and Seshadri";"Mumbai"
164;36648;13810.61;"2025-09-25 17:34:13";"Doshi, Bath and Wagle";"Nagpur"
165;21688;13725.28;"2024-06-04 11:44:06";"Mukherjee-Gokhale";"Aurangabad"
166;23934;16397.78;"2024-10-03 12:22:56";"Kohli-Tripathi";"Ahmednagar"
167;3632;3779.36;"2025-05-10 08:01:41";"Kale, Balakrishnan and Bahri";"Ahmednagar"
168;27503;2149.68;"2025-10-16 04:36:50";"Wason Inc";"Pune"
169;21047;4264.2;"2024-12-27 11:58:44";"Swaminathan and Sons";"Kolhapur"
170;15797;2827.41;"2024-03-16 04:24:08";"Wagle-Chad";"Thane"
171;13036;19961.23;"2024-04-29 22:03:03";"Manne-Deshpande";"Mumbai"
172;8190;13732.75;"2025-07-23 03:37:23";"Tandon, Parsa and Lata";"Solapur"
173;31259;136.22;"2024-05-03 04:02:26";"Chand Inc";"Pune"
174;21677;10229.08;"2024-02-17 01:14:05";"Divan and Sons";"Kolhapur"
175;14878;12692.24;"2025-07-27 13:26:09";"Dutt Group";"Satara"
176;5960;1638.87;"2025-02-16 04:10:53";"Dhawan, Kapadia and Parmar";"Mumbai"
177;20232;13316.6;"2025-04-30 08:18:56";"Basak, Sridhar and Choudhary";"Nagpur"
178;29026;14992.55;"2025-12-07 20:14:42";"Kapur-Kothari";"Nashik"
179;11589;12355.65;"2025-07-17 19:50:54";"Raja-Jaggi";"Thane"
180;10279;2149.66;"2025-08-28 12:44:07";"Karan Group";"Satara"
181;47197;18681.87;"2024-02-04 03:51:40";"Dhaliwal, Lad and Saxena";"Mumbai"
182;22280;2868.22;"2025-06-06 21:27:09";"Shankar-Korpal";"Nashik"
183;41117;4071.48;"2024-09-24 14:13:53";"Aggarwal, Deep and Sharma";"Nashik"
184;27627;15010.22;"2024-07-01 17:18:53";"Borah, Sawhney and Palla";"Nagpur"
185;28760;10831.21;"2025-11-13 02:53:09";"Sane Ltd";"Mumbai"
186;26062;17091.93;"2024-04-23 23:47:59";"Sankar LLC";"Thane"
187;7790;9565.82;"2024-04-23 15:14:55";"Sood Ltd";"Satara"
188;22892;3435.47;"2024-03-16 22:37:28";"Kara-Krishnan";"Satara"
189;8859;13685.28;"2024-12-10 10:31:19";"Borra LLC";"Solapur"
190;16235;9469.12;"2024-08-17 06:08:41";"D’Alia-Apte";"Kolhapur"
191;14524;18995.75;"2025-02-10 13:42:25";"Loyal, Rastogi and Sarkar";"Mumbai"
192;1933;1314.42;"2025-04-09 16:44:39";"Pandit Inc";"Nagpur"
193;921;4979.16;"2025-02-07 08:07:00";"Sandhu-Sridhar";"Ahmednagar"
194;47;15465.69;"2025-02-19 19:56:20";"Karnik-Som";"Satara"
195;37229;8034.95;"2025-10-13 03:33:10";"Hari-Ramaswamy";"Mumbai"
196;19571;12551.77;"2025-09-21 03:12:28";"Peri, Dugar and Gulati";"Nashik"
197;19576;16943.03;"2025-02-07 14:36:26";"Balay-Sridhar";"Satara"
198;12285;16831.85;"2024-07-07 20:44:07";"Gaba, Memon and Sathe";"Pune"
199;46870;17635.84;"2024-09-02 07:57:50";"Sabharwal-Pau";"Nashik"
200;36432;12384.0;"2024-10-15 18:47:49";"Balakrishnan-Bawa";"Pune"
201;118;18870.11;"2024-06-20 05:46:24";"Dar Group";"Solapur"
202;22077;5714.25;"2025-04-23 03:41:35";"Dixit, Thakur and Puri";"Satara"
203;41725;9869.38;"2025-04-12 05:42:48";"Patla-Balasubramanian";"Solapur"
204;16751;6673.61;"2025-08-15 03:40:04";"Banerjee Group";"Nashik"
205;2602;1696.87;"2024-04-23 10:38:29";"Bandi and Sons";"Satara"
206;41441;17587.88;"2025-07-05 20:01:47";"Dugar, Mangat and Bains";"Pune"
207;6129;5489.91;"2023-12-10 16:57:10";"Upadhyay and Sons";"Satara"
208;9769;15356.21;"2025-03-18 02:47:32";"Nayak-Gaba";"Kolhapur"
209;16811;15344.53;"2025-08-14 11:53:12";"Mandal Group";"Mumbai"
210;17650;13261.28;"2025-01-31 10:42:45";"Raju and Sons";"Thane"
211;30922;56.9;"2025-03-09 23:32:31";"Vohra, Puri and Vasa";"Kolhapur"
212;23515;19500.91;"2025-09-02 16:04:28";"Kamdar-Choudhry";"Nashik"
213;9636;13927.6;"2024-08-03 16:07:24";"Kumer Group";"Nashik"
214;10297;3807.5;"2024-09-30 05:01:27";"Patil-Muni";"Aurangabad"
215;24872;6690.65;"2025-03-02 11:54:22";"Patel-Rege";"Pune"
216;15416;3189.07;"2025-04-25 23:49:58";"Pandey, Kunda and Iyengar";"Pune"
217;47090;13947.2;"2024-08-05 12:25:54";"Nadkarni Ltd";"Thane"
218;1597;12724.61;"2025-09-14 02:07:24";"Mistry-Rao";"Pune"
219;27964;6698.08;"2024-04-07 11:38:52";"Kota-Konda";"Aurangabad"
220;8195;11248.17;"2025-11-07 16:21:55";"Parmar, Sarkar and Mohan";"Aurangabad"
221;22596;1501.39;"2024-07-27 10:55:15";"Sundaram-Varkey";"Aurangabad"
222;34553;7774.6;"2025-06-28 13:19:31";"Agate-Dhillon";"Pune"
223;18005;4973.36;"2025-07-31 13:35:15";"Anand, Rao and Tella";"Nagpur"
224;49207;5553.82;"2024-09-14 04:54:54";"Menon-Dube";"Aurangabad"
225;21003;926.36;"2025-04-26 05:03:08";"Dhar, Sehgal and Grover";"Pune"
226;36702;17079.64;"2025-03-14 07:44:58";"Setty-Bose";"Thane"
227;32951;9485.14;"2025-01-24 08:28:21";"Pandya-Madan";"Nagpur"
228;35801;14890.91;"2024-02-15 14:28:06";"Lanka PLC";"Mumbai"
229;36975;17447.21;"2025-04-06 19:08:38";"Sridhar, Ravi and Gala";"Ahmednagar"
230;27662;5964.29;"2025-01-27 11:48:57";"Ramanathan, Purohit and Atwal";"Nagpur"
231;33363;10390.49;"2024-11-16 17:25:51";"Bir Ltd";"Thane"
232;32173;15681.96;"2024-06-08 20:37:28";"Walla-Prashad";"Pune"
233;945;17131.66;"2024-11-04 07:01:03";"Om, Oak and Bhagat";"Nashik"
234;7057;18064.62;"2025-11-17 04:13:22";"Murthy Group";"Nagpur"
235;29805;6526.35;"2024-01-08 20:43:23";"Korpal, Bal and Manne";"Mumbai"
236;40995;1571.19;"2025-08-28 06:24:27";"Bedi Inc";"Thane"
237;36357;17963.03;"2024-08-25 16:33:14";"Kumer, Prasad and Lad";"Solapur"
238;49149;6793.15;"2025-04-05 11:44:20";"Nair-Misra";"Mumbai"
239;840;880.84;"2024-09-07 04:08:37";"Nair, Keer and Kala";"Thane"
240;28719;15475.37;"2025-07-03 20:26:53";"Sarin-Varughese";"Mumbai"
241;15126;19146.13;"2024-09-16 20:33:07";"Andra and Sons";"Kolhapur"
242;34570;7793.5;"2024-08-11 07:46:03";"Srinivas-Mani";"Satara"
243;8812;13966.06;"2024-08-12 11:58:25";"Sunder-Raj";"Satara"
244;32554;7237.31;"2024-05-22 17:01:50";"Randhawa, Virk and Menon";"Kolhapur"
245;8722;16785.18;"2024-10-02 05:14:30";"Madan Ltd";"Solapur"
246;43004;15316.6;"2025-05-13 03:23:54";"Prasad-Talwar";"Nagpur"
247;38071;12654.41;"2024-10-04 18:52:22";"Bhatia, Pai and Bala";"Satara"
248;6173;2863.79;"2024-11-05 09:21:31";"Palla Ltd";"Pune"
249;45544;6911.4;"2024-09-22 03:10:17";"Bose LLC";"Satara"
250;2913;3350.48;"2025-05-31 16:08:16";"Peri-Dasgupta";"Pune"
251;23901;13817.18;"2025-09-01 03:35:04";"Atwal, Badami and Buch";"Pune"
252;41511;17828.13;"2024-02-01 15:54:18";"Dora and Sons";"Ahmednagar"
253;18970;10539.39;"2024-09-12 17:55:19";"Kapoor Group";"Kolhapur"
254;11581;2033.73;"2024-10-26 03:31:34";"Dass Inc";"Nashik"
255;35725;17291.01;"2025-08-26 23:08:38";"Munshi-Pau";"Solapur"
256;33552;6732.58;"2025-11-12 11:01:42";"Datta-Raval";"Ahmednagar"
257;24853;17148.17;"2024-10-02 04:03:17";"Radhakrishnan-Mahajan";"Thane"
258;21466;8290.19;"2025-07-01 20:04:58";"Rajan, Apte and Ramachandran";"Kolhapur"
259;24629;16599.42;"2025-03-14 04:55:36";"Bhatnagar-Kanda";"Thane"
260;48337;16366.22;"2024-07-30 03:14:37";"Wali PLC";"Aurangabad"
261;34377;14914.4;"2025-10-06 20:53:41";"Borah, Muni and Dua";"Pune"
262;46082;11837.01;"2024-06-20 08:25:14";"Bedi-Wagle";"Thane"
263;36876;10969.9;"2025-04-01 21:56:06";"Keer-Savant";"Solapur"
264;8879;14905.77;"2024-08-02 07:11:07";"Ravi, Bhandari and Pai";"Aurangabad"
265;38813;9646.31;"2025-12-03 04:33:19";"Dash-Jha";"Ahmednagar"
266;32781;14290.68;"2025-01-15 23:48:42";"Brar, Batta and Sule";"Nashik"
267;9650;441.13;"2025-03-24 02:07:34";"Sangha Group";"Solapur"
268;219;7934.51;"2024-06-11 20:06:59";"Merchant-Chaudhuri";"Satara"
269;40256;12153.11;"2025-03-09 01:23:22";"Sathe-Srinivasan";"Mumbai"
270;705;17559.24;"2025-10-20 13:09:11";"Morar-Ramakrishnan";"Nagpur"
271;4626;11126.16;"2025-03-15 05:22:57";"Bobal-Dara";"Satara"
272;3621;8107.58;"2025-07-14 02:08:59";"Gill-Sama";"Ahmednagar"
273;46740;2387.2;"2024-06-26 02:55:41";"Mani-Narayanan";"Ahmednagar"
274;2245;19916.9;"2025-11-22 19:06:47";"Kuruvilla PLC";"Aurangabad"
275;26411;14762.75;"2024-09-16 23:30:47";"Bansal Inc";"Satara"
276;47695;15214.29;"2024-11-10 00:51:51";"Basu, Kota and Comar";"Nagpur"
277;19334;13180.53;"2024-10-12 23:27:19";"Khurana-Nath";"Nagpur"
278;17341;14082.78;"2025-02-25 09:17:13";"Bhagat Inc";"Aurangabad"
279;11332;6505.98;"2025-05-29 02:03:54";"Raj-Thaker";"Solapur"
280;1635;7965.57;"2024-12-31 09:13:23";"Khalsa-Wadhwa";"Nashik"
281;11332;17927.37;"2024-09-19 00:51:45";"Chauhan, Mander and Dada";"Nashik"
282;42288;1764.38;"2024-08-26 16:30:48";"Khosla-Bandi";"Aurangabad"
283;11587;6764.41;"2024-01-19 07:29:49";"Kara, Jhaveri and Wali";"Nashik"
284;3262;12028.08;"2025-04-09 20:53:05";"Ranganathan-Sharma";"Kolhapur"
285;32487;13314.09;"2024-02-25 13:15:34";"Bhatnagar LLC";"Nashik"
286;26309;6090.85;"2025-03-23 23:35:40";"Khosla, Bhattacharyya and Mohanty";"Solapur"
287;48104;7776.44;"2025-01-26 10:13:20";"Barad LLC";"Mumbai"
288;29459;8644.89;"2024-12-04 01:07:30";"Muni LLC";"Solapur"
289;18842;3449.6;"2024-05-20 22:22:45";"Mukhopadhyay-Mody";"Ahmednagar"
290;3968;12030.51;"2025-06-27 11:44:19";"Som, Deo and Chatterjee";"Nashik"
291;14280;1889.4;"2025-04-21 19:53:23";"Mutti, Varma and Batta";"Thane"
292;12385;10867.93;"2025-03-10 22:12:33";"Viswanathan-Rajagopal";"Aurangabad"
293;31785;10394.49;"2025-04-26 06:02:25";"Lalla, Sandhu and Gupta";"Satara"
294;22103;8900.25;"2024-11-11 12:58:51";"Virk, Bobal and Apte";"Ahmednagar"
295;43015;10695.86;"2025-09-09 13:39:39";"Shah LLC";"Ahmednagar"
296;47617;17306.79;"2025-11-25 04:15:09";"Mani-Bobal";"Nagpur"
297;29321;4649.54;"2024-05-16 01:59:36";"Grover Inc";"Nashik"
298;8681;17995.27;"2025-02-16 05:53:14";"Buch LLC";"Nashik"
299;3530;14560.49;"2025-11-02 12:06:31";"Radhakrishnan PLC";"Nashik"
300;9197;5258.73;"2024-12-24 23:18:37";"Bakshi-Kala";"Satara"
301;35833;8255.53;"2025-12-08 05:30:31";"Shetty, Borra and Bassi";"Nagpur"
302;19969;6973.59;"2024-09-03 11:44:25";"Patla, Mukherjee and Mutti";"Kolhapur"
303;7995;2321.7;"2025-03-27 21:50:11";"Butala-Bhargava";"Solapur"
304;5980;10466.09;"2025-08-27 14:14:52";"Bhalla LLC";"Mumbai"
305;29397;11431.89;"2025-01-03 17:21:29";"Wali Inc";"Thane"
306;47568;8975.38;"2024-12-21 08:19:35";"Kata, Dewan and Rege";"Aurangabad"
307;18679;2190.85;"2025-08-22 09:29:12";"Cherian, Rana and Chand";"Solapur"
308;47048;13544.9;"2025-04-30 19:41:05";"Iyer, Tailor and Jain";"Nashik"
309;8639;19167.94;"2025-02-18 03:40:35";"Rege Inc";"Thane"
310;17599;6179.1;"2023-12-26 06:08:55";"Deol, Narasimhan and Sen";"Solapur"
311;2438;15968.4;"2025-03-20 07:13:11";"Mahal-Parmar";"Kolhapur"
312;2668;6180.6;"2025-10-26 21:25:02";"Sane LLC";"Aurangabad"
313;32900;3140.06;"2024-03-29 18:24:04";"Pandey-Dutt";"Kolhapur"
314;22641;3814.85;"2025-08-13 05:04:48";"Bains and Sons";"Mumbai"
315;42640;1355.78;"2024-09-09 07:42:12";"Batta LLC";"Aurangabad"
316;13360;1592.62;"2024-01-12 10:52:00";"Buch-Gara";"Solapur"
317;7715;13712.06;"2024-06-14 07:03:30";"Chandra-Maharaj";"Solapur"
318;1092;1750.95;"2024-02-24 03:14:34";"Narayanan-Gokhale";"Ahmednagar"
319;13904;7283.82;"2025-09-10 17:42:21";"Mand, Trivedi and Sule";"Satara"
320;37409;7895.97;"2024-12-06 08:08:04";"Chakraborty, Bhat and Sarna";"Kolhapur"
