"account_id","customer_id","branch_id","account_type","balance","opening_date"
114,114,30980,"Saving",127227.32,"2021-10-09"
115,115,9752,"Current",135621.74,"2020-07-19"
116,116,10846,"Current",8540.99,"2025-07-08"
117,117,42300,"Saving",89814.45,"2018-03-21"
118,118,28655,"Saving",48120.19,"2020-06-02"
119,119,21930,"Saving",193770.2,"2020-12-28"
120,120,21156,"Current",14460.98,"2024-07-07"
121,121,36827,"Current",5453.93,"2020-08-16"
122,122,1312,"Saving",136157.14,"2019-07-21"
123,123,3751,"Saving",55597.47,"2021-04-10"
124,124,32535,"Saving",40849.62,"2021-07-06"
125,125,27663,"Saving",185614.95,"2021-03-04"
126,126,38994,"Saving",111957.39,"2024-11-27"
127,127,22050,"Saving",140946.42,"2024-03-27"
128,128,26585,"Current",59024.45,"2021-05-08"
129,129,15369,"Saving",9635.2,"2019-07-18"
130,130,41212,"Current",118808.09,"2024-12-10"
131,131,16768,"Current",119024.86,"2024-10-10"
132,132,22660,"Saving",115188.52,"2019-08-24"
133,133,41508,"Saving",112601.9,"2019-12-17"
134,134,30967,"Saving",149559.86,"2021-04-18"
135,135,26465,"Current",90587.11,"2023-12-10"
136,136,18128,"Saving",192419.52,"2022-01-15"
137,137,5703,"Saving",124079.41,"2022-07-05"
138,138,67,"Saving",141500.64,"2021-06-26"
139,139,48820,"Current",77814.58,"2018-08-08"
140,140,40146,"Saving",172193.9,"2018-09-24"
141,141,41106,"Current",75839.56,"2020-01-08"
142,142,46982,"Current",81658.04,"2018-07-10"
143,143,43890,"Saving",29728.16,"2024-06-18"
144,144,42853,"Saving",144613.91,"2022-05-04"
145,145,32632,"Current",143641.53,"2020-11-21"
146,146,4739,"Saving",25527.28,"2019-11-08"
147,147,16454,"Saving",11384.45,"2018-10-03"
148,148,28058,"Saving",55742.29,"2018-12-17"
149,149,35851,"Current",106667.21,"2019-07-17"
150,150,22225,"Current",18500.49,"2023-11-28"
151,151,44556,"Current",127770.26,"2020-07-16"
152,152,46719,"Saving",35882.31,"2020-09-22"
153,153,46195,"Saving",194133.63,"2025-02-27"
154,154,30481,"Current",131484.52,"2019-01-28"
155,155,38369,"Current",54283.23,"2019-11-24"
156,156,498,"Saving",166368.85,"2021-08-15"
157,157,16977,"Saving",66321.39,"2019-01-10"
158,158,17696,"Saving",132140.97,"2023-03-22"
159,159,8205,"Current",107241.82,"2018-10-15"
160,160,19065,"Current",118216.35,"2025-06-13"
161,161,17507,"Saving",65188.75,"2024-06-18"
162,162,5998,"Saving",175476.35,"2021-03-05"
163,163,42182,"Current",46014.23,"2024-05-27"
164,164,15748,"Current",28840.82,"2021-01-07"
165,165,33892,"Current",141656.86,"2021-12-28"
166,166,12294,"Saving",14098.92,"2024-05-24"
167,167,31974,"Current",90842.31,"2024-11-08"
168,168,43608,"Current",150063.04,"2022-09-11"
169,169,47361,"Saving",61855.23,"2023-06-18"
170,170,1085,"Saving",129933.68,"2021-12-05"
171,171,25544,"Saving",13335.57,"2020-05-30"
172,172,20679,"Current",39961.22,"2021-07-09"
173,173,44961,"Saving",69273.91,"2019-09-07"
174,174,50,"Current",154178.44,"2018-08-05"
175,175,25128,"Current",157393.86,"2022-01-20"
176,176,34102,"Saving",37615.5,"2020-05-14"
177,177,38993,"Saving",29285.9,"2020-03-11"
178,178,20647,"Saving",119338.26,"2018-04-26"
179,179,6290,"Current",39741.29,"2020-02-12"
180,180,12486,"Current",162671.35,"2023-03-07"
181,181,43241,"Current",75783.02,"2020-05-29"
182,182,27952,"Current",28637.04,"2022-08-23"
183,183,182,"Saving",199379.25,"2018-02-26"
184,184,16066,"Current",19617.12,"2024-07-31"
185,185,20169,"Saving",11716.18,"2021-07-16"
186,186,39363,"Current",48303.25,"2022-07-28"
187,187,3686,"Saving",183043.25,"2021-11-21"
188,188,41473,"Current",126748.49,"2020-11-05"
189,189,6556,"Saving",64685.22,"2021-07-04"
190,190,12551,"Saving",79517.55,"2018-04-11"
191,191,35256,"Current",139102.8,"2025-07-16"
192,192,4050,"Saving",190595.52,"2019-11-28"
193,193,24070,"Saving",29491.64,"2022-11-28"
194,194,754,"Saving",90380.79,"2021-12-02"
195,195,23389,"Saving",45277.53,"2019-07-29"
196,196,6312,"Current",151001.21,"2020-04-27"
197,197,17711,"Current",28550.95,"2020-07-13"
198,198,34073,"Saving",56423.04,"2020-03-07"
199,199,45440,"Saving",40614.28,"2018-03-14"
200,200,20636,"Saving",177867.52,"2023-09-18"
201,201,43691,"Current",185335.92,"2024-09-03"
202,202,22483,"Current",180125.69,"2018-08-24"
203,203,6053,"Saving",159412.4,"2018-06-04"
204,204,1406,"Current",80606.04,"2018-07-13"
205,205,43306,"Current",170809.74,"2023-10-21"
206,206,7278,"Current",57095.97,"2020-02-10"
207,207,31956,"Saving",97133.8,"2025-04-19"
208,208,31111,"Saving",24964.08,"2025-02-09"
209,209,22933,"Current",30702.16,"2024-07-16"
210,210,31409,"Current",147188.41,"2020-02-04"
211,211,42001,"Current",17543.45,"2024-05-06"
212,212,22492,"Current",84630.73,"2020-05-15"
213,213,35684,"Saving",111082.63,"2019-10-17"
214,214,36303,"Saving",42640.23,"2022-11-14"
215,215,35279,"Current",163531.14,"2019-10-10"
216,216,41297,"Current",114404.69,"2019-06-21"
217,217,31511,"Current",165234.52,"2019-10-29"
218,218,49245,"Current",91542.53,"2022-09-22"
219,219,24991,"Saving",162401.01,"2022-05-14"
220,220,8286,"Saving",147493.66,"2022-07-29"
221,221,19619,"Saving",176364.53,"2025-04-24"
222,222,19348,"Saving",36999.67,"2025-12-06"
223,223,2054,"Saving",117715.58,"2019-03-18"
224,224,25377,"Saving",179186.71,"2025-10-13"
225,225,11806,"Current",187052.17,"2018-01-08"
226,226,11484,"Saving",143488.39,"2025-04-28"
227,227,10575,"Current",51983.01,"2022-11-12"
228,228,23574,"Current",83631.41,"2025-10-22"
229,229,5373,"Saving",50179.03,"2023-01-07"
230,230,10070,"Saving",195436.54,"2024-02-05"
231,231,27013,"Current",24439.65,"2019-02-23"
232,232,1487,"Current",117444.31,"2021-12-31"
233,233,46767,"Saving",66306.6,"2022-05-25"
234,234,48077,"Current",5465.05,"2024-03-23"
235,235,49910,"Current",139751.03,"2019-11-16"
236,236,4809,"Current",59788.98,"2020-06-18"
237,237,45214,"Current",180442.86,"2019-03-16"
238,238,30203,"Current",10912.53,"2024-04-17"
239,239,20865,"Current",84432.41,"2018-08-10"
240,240,4384,"Current",58078.4,"2024-07-29"
241,241,9825,"Current",25855.2,"2021-05-27"
242,242,44773,"Current",123989.61,"2025-03-12"
243,243,48986,"Saving",181784.39,"2022-01-28"
244,244,6176,"Current",104644.93,"2022-08-12"
245,245,9281,"Current",178894.76,"2024-08-04"
246,246,13403,"Current",198975.35,"2018-12-12"
247,247,43311,"Saving",190761.65,"2021-06-26"
248,248,32519,"Saving",13280.78,"2021-01-07"
249,249,17680,"Current",118344.98,"2024-05-28"
250,250,1261,"Current",197591.26,"2022-04-13"
251,251,4390,"Current",19535.34,"2024-02-16"
252,252,47929,"Saving",129843.17,"2019-05-25"
253,253,13711,"Saving",118003.0,"2018-03-17"
254,254,4079,"Saving",31987.9,"2021-04-08"
255,255,3155,"Saving",60474.24,"2025-08-17"
256,256,1025,"Current",46044.28,"2021-11-06"
257,257,19381,"Saving",72920.02,"2022-06-10"
258,258,29624,"Saving",161859.53,"2023-05-07"
259,259,31899,"Current",152929.61,"2018-08-23"
260,260,31811,"Current",3849.72,"2018-11-26"
261,261,32603,"Saving",135380.54,"2023-06-27"
262,262,4735,"Saving",27480.97,"2019-06-17"
263,263,49038,"Current",156248.69,"2021-12-18"
264,264,25552,"Current",39298.03,"2024-09-04"
265,265,43763,"Saving",99743.78,"2019-04-29"
266,266,3757,"Saving",74939.24,"2019-10-18"
267,267,25334,"Current",13822.53,"2023-01-02"
268,268,41345,"Current",124218.06,"2018-01-12"
269,269,45401,"Saving",38486.8,"2020-05-05"
270,270,3662,"Saving",24968.12,"2020-03-22"
271,271,42306,"Saving",173597.62,"2020-02-11"
272,272,20753,"Saving",109793.65,"2017-12-21"
273,273,27425,"Saving",131458.42,"2025-08-16"
274,274,9688,"Saving",100623.29,"2018-07-31"
275,275,13665,"Saving",136872.0,"2023-09-03"
276,276,43928,"Saving",37123.2,"2025-01-21"
277,277,40259,"Saving",19920.46,"2025-10-30"
278,278,36983,"Saving",89404.85,"2019-01-28"
279,279,43974,"Saving",174158.32,"2024-11-22"
280,280,39006,"Current",36653.22,"2018-11-10"
281,281,13067,"Current",53737.56,"2018-09-05"
282,282,41406,"Saving",173557.81,"2018-09-16"
283,283,26581,"Saving",103936.03,"2021-06-18"
284,284,23233,"Current",148518.78,"2021-03-27"
285,285,20341,"Saving",4892.8,"2025-05-12"
286,286,49058,"Current",79503.97,"2020-03-13"
287,287,23559,"Saving",53454.05,"2021-10-28"
288,288,14284,"Saving",27512.34,"2021-09-30"
289,289,2196,"Current",175606.01,"2024-08-05"
290,290,37448,"Saving",58388.58,"2021-01-23"
291,291,9134,"Current",61231.76,"2020-01-20"
292,292,34881,"Current",106981.59,"2019-08-10"
293,293,23423,"Saving",106232.47,"2022-07-09"
294,294,36313,"Saving",113589.83,"2022-12-30"
295,295,38229,"Saving",93122.75,"2023-12-23"
296,296,32814,"Saving",80179.25,"2020-07-10"
297,297,41486,"Saving",83692.99,"2019-02-04"
298,298,1655,"Saving",15797.17,"2024-06-05"
299,299,22359,"Saving",25308.29,"2019-08-29"
300,300,4829,"Saving",176632.39,"2021-08-04"
301,301,16822,"Current",139997.23,"2020-06-17"
302,302,38331,"Saving",140325.71,"2022-02-01"
303,303,25894,"Current",146137.64,"2022-07-19"
304,304,46603,"Saving",36093.97,"2017-12-21"
305,305,4392,"Saving",62011.25,"2020-01-20"
306,306,32014,"Current",78341.26,"2020-02-29"
307,307,26197,"Current",117683.46,"2022-08-11"
308,308,41061,"Saving",130856.32,"2019-07-12"
309,309,49391,"Saving",118251.68,"2024-11-04"
310,310,46661,"Saving",125827.54,"2018-07-17"
311,311,45517,"Saving",174469.07,"2017-12-24"
312,312,33814,"Saving",15045.51,"2023-02-08"
313,313,32806,"Current",45552.91,"2022-08-07"
314,314,49269,"Current",51661.53,"2021-09-03"
315,315,35924,"Saving",10789.29,"2025-10-14"
316,316,22955,"Saving",154356.25,"2020-08-16"
317,317,2931,"Saving",163981.21,"2025-05-23"
318,318,48631,"Current",96450.87,"2020-09-17"
319,319,7487,"Current",194540.42,"2025-05-29"
320,320,10016,"Current",98846.97,"2020-10-07"
321,321,30974,"Saving",40090.07,"2022-02-09"
322,322,46724,"Current",186639.99,"2024-05-12"
323,323,45901,"Saving",31063.81,"2022-12-09"
324,324,9442,"Current",65207.93,"2024-11-13"
325,325,21427,"Current",95152.83,"2022-07-12"
326,326,45356,"Saving",50216.71,"2021-01-07"
327,327,8680,"Saving",124326.48,"2025-05-19"
328,328,14146,"Current",178228.67,"2021-06-11"
329,329,27225,"Current",49804.83,"2022-07-29"
330,330,48069,"Saving",169090.84,"2023-12-17"
331,331,38994,"Current",17950.86,"2025-08-22"
332,332,27584,"Current",80764.74,"2024-02-25"
333,333,39546,"Current",51034.86,"2023-04-08"
334,334,37988,"Saving",198722.25,"2021-11-08"
335,335,43973,"Saving",163555.32,"2025-04-13"
336,336,45815,"Current",93326.04,"2020-03-28"
337,337,43121,"Current",51150.17,"2025-07-13"
338,338,44489,"Current",183194.33,"2020-05-14"
339,339,43182,"Current",107111.18,"2019-11-11"
340,340,5049,"Saving",14985.48,"2023-06-18"
341,341,43292,"Saving",154244.5,"2020-01-27"
342,342,43860,"Saving",15272.45,"2022-05-31"
343,343,42174,"Current",39173.98,"2021-12-14"
344,344,11371,"Current",55831.72,"2020-10-13"
345,345,41807,"Current",98160.78,"2018-03-20"
346,346,28323,"Saving",36423.99,"2018-02-09"
347,347,33875,"Saving",195130.04,"2023-06-22"
348,348,34430,"Saving",8956.65,"2023-05-12"
349,349,3556,"Saving",17176.15,"2019-07-18"
350,350,4895,"Saving",78269.52,"2022-02-05"
351,351,25310,"Saving",1649.34,"2023-11-27"
352,352,20140,"Current",146896.99,"2023-06-08"
353,353,1105,"Current",198089.35,"2024-11-17"
354,354,11184,"Current",150896.31,"2020-05-22"
355,355,19584,"Saving",184588.92,"2018-12-21"
356,356,20724,"Current",168344.3,"2024-02-11"
357,357,22951,"Current",65041.57,"2024-05-17"
358,358,10637,"Current",132268.36,"2019-07-25"
359,359,1752,"Saving",84771.0,"2018-03-03"
360,360,22742,"Current",140481.86,"2021-01-24"
361,361,28069,"Current",107831.39,"2022-01-24"
362,362,24192,"Current",107195.75,"2020-09-16"
363,363,36325,"Current",168117.21,"2025-10-14"
364,364,23124,"Current",57059.78,"2025-10-28"
365,365,8347,"Saving",56805.8,"2024-05-10"
366,366,12903,"Saving",194607.75,"2022-09-28"
367,367,23713,"Current",42538.66,"2021-10-11"
368,368,35809,"Current",78809.34,"2021-02-16"
369,369,8629,"Current",141368.48,"2023-08-14"
370,370,30092,"Saving",16165.96,"2021-11-16"
371,371,20918,"Saving",36869.39,"2019-11-14"
372,372,9758,"Saving",10765.94,"2024-04-05"
373,373,14082,"Saving",36006.58,"2019-06-01"
374,374,7857,"Saving",185791.33,"2018-06-19"
375,375,30975,"Current",111946.04,"2025-04-15"
376,376,45608,"Saving",100336.2,"2023-09-10"
377,377,862,"Current",108054.95,"2023-06-03"
378,378,49220,"Current",153822.8,"2021-05-23"
379,379,40905,"Saving",173296.01,"2024-05-17"
380,380,37082,"Saving",149657.32,"2020-01-03"
381,381,20126,"Current",181124.26,"2018-02-25"
382,382,5476,"Saving",7600.09,"2022-05-03"
383,383,48267,"Saving",161629.7,"2019-12-31"
384,384,23134,"Current",44622.2,"2019-07-10"
385,385,46478,"Current",195749.01,"2021-12-25"
386,386,269,"Current",126807.75,"2021-04-22"
387,387,45675,"Saving",142508.7,"2025-08-25"
388,388,31871,"Saving",165482.66,"2023-11-06"
389,389,49294,"Current",37398.62,"2024-02-12"
390,390,34148,"Current",154820.51,"2020-04-06"
391,391,12697,"Current",68308.78,"2024-04-26"
392,392,45146,"Current",161992.94,"2024-03-05"
393,393,27936,"Saving",103029.21,"2020-09-16"
394,394,16186,"Current",38464.63,"2018-10-05"
395,395,28383,"Saving",193795.12,"2025-04-06"
396,396,13379,"Saving",169319.11,"2024-06-23"
397,397,18843,"Saving",122787.92,"2020-01-05"
398,398,44002,"Saving",96359.05,"2022-04-28"
399,399,22972,"Current",123090.25,"2023-07-11"
400,400,31054,"Saving",53075.25,"2020-04-28"
401,401,15805,"Saving",10088.09,"2019-12-15"
402,402,42233,"Current",44302.49,"2022-12-21"
403,403,23147,"Saving",165610.35,"2021-04-04"
404,404,44931,"Saving",172107.72,"2021-12-03"
405,405,4695,"Current",194791.04,"2023-12-01"
406,406,43493,"Current",66771.36,"2019-09-04"
407,407,46301,"Current",90727.42,"2021-06-29"
408,408,24986,"Current",173774.91,"2025-01-14"
409,409,40703,"Saving",74900.21,"2020-07-22"
410,410,4624,"Saving",29801.86,"2020-11-13"
411,411,966,"Saving",134967.42,"2024-05-19"
412,412,8219,"Current",60436.52,"2020-01-27"
413,413,1096,"Saving",38000.36,"2018-07-14"
414,414,29346,"Current",106304.44,"2025-01-02"
415,415,35237,"Current",26011.52,"2019-03-22"
416,416,28292,"Saving",185225.14,"2023-06-15"
417,417,37383,"Saving",4970.42,"2023-04-01"
418,418,1841,"Saving",124694.19,"2023-04-25"
419,419,46646,"Saving",188480.82,"2024-07-06"
420,420,9538,"Current",54213.85,"2021-04-12"
421,421,41917,"Saving",84545.27,"2021-10-31"
422,422,6048,"Saving",122098.07,"2021-05-28"
423,423,8720,"Current",147474.74,"2019-02-18"
424,424,26264,"Saving",102216.87,"2018-03-14"
425,425,22035,"Current",145058.7,"2018-12-18"
426,426,19504,"Saving",53842.98,"2024-05-23"
427,427,19628,"Saving",163086.16,"2020-05-01"
428,428,26081,"Saving",24844.27,"2022-01-04"
429,429,19916,"Current",82381.96,"2018-05-05"
430,430,9246,"Saving",1058.69,"2018-07-17"
431,431,49038,"Current",179274.02,"2022-05-04"
432,432,39517,"Current",23346.25,"2019-07-02"
433,433,515,"Saving",172925.92,"2025-03-31"
434,434,30288,"Current",156340.65,"2024-08-08"
435,435,40837,"Saving",139397.39,"2018-11-16"
436,436,4449,"Current",160504.11,"2023-10-04"
437,437,652,"Saving",123342.84,"2023-10-25"
438,438,19117,"Current",112978.12,"2018-05-14"
439,439,5114,"Saving",192367.39,"2021-04-15"
440,440,25574,"Saving",2553.82,"2025-11-25"
441,441,33774,"Current",176172.78,"2020-07-17"
442,442,2871,"Saving",144191.71,"2018-10-23"
443,443,22966,"Current",144515.87,"2020-10-17"
444,444,15516,"Saving",161342.71,"2020-07-23"
445,445,40079,"Saving",39141.32,"2018-03-20"
446,446,25317,"Current",74872.21,"2022-07-14"
447,447,23481,"Saving",38132.08,"2019-05-14"
448,448,21770,"Current",10733.77,"2023-07-06"
449,449,10755,"Current",133698.48,"2018-09-08"
450,450,34616,"Current",141921.47,"2020-05-22"
451,451,32193,"Saving",108979.05,"2021-05-05"
452,452,27876,"Saving",8813.9,"2021-12-03"
453,453,35134,"Saving",78059.58,"2023-11-25"
454,454,35404,"Current",38012.34,"2022-07-24"
455,455,42836,"Current",97165.76,"2022-04-22"
456,456,13179,"Saving",11477.32,"2025-10-24"
457,457,19995,"Saving",42714.96,"2019-01-11"
458,458,15045,"Current",130218.24,"2020-05-18"
459,459,31226,"Current",117036.62,"2022-12-05"
460,460,30870,"Saving",55516.93,"2022-02-15"
461,461,31290,"Saving",102677.12,"2020-03-29"
462,462,22703,"Saving",96915.71,"2019-06-06"
463,463,3180,"Saving",48503.71,"2024-02-19"
464,464,5293,"Current",128165.52,"2021-11-26"
465,465,27472,"Current",102424.84,"2025-07-26"
466,466,46802,"Current",143465.08,"2020-05-15"
467,467,38095,"Current",44641.67,"2022-03-22"
468,468,12719,"Saving",12124.84,"2019-08-29"
469,469,40888,"Saving",123282.16,"2019-10-23"
470,470,5295,"Current",18539.24,"2021-09-02"
471,471,19202,"Saving",96216.75,"2024-04-09"
472,472,48083,"Current",160791.92,"2023-06-18"
473,473,7773,"Current",148792.61,"2024-01-02"
474,474,1841,"Current",166787.48,"2018-04-16"
475,475,18341,"Current",105959.37,"2025-01-13"
476,476,46043,"Saving",132730.77,"2023-06-15"
477,477,49497,"Saving",197369.06,"2022-11-24"
478,478,48703,"Current",161315.04,"2018-11-02"
479,479,28450,"Current",100015.35,"2021-12-02"
480,480,1214,"Current",83216.71,"2022-06-25"
481,481,44220,"Saving",161923.93,"2024-09-19"
482,482,20444,"Saving",39494.97,"2022-03-05"
483,483,5718,"Saving",191436.43,"2025-12-01"
484,484,34140,"Current",42212.88,"2024-10-31"
485,485,24580,"Saving",155696.53,"2024-12-24"
486,486,2911,"Current",56035.79,"2025-01-27"
487,487,43331,"Current",78427.95,"2024-01-01"
488,488,3000,"Current",182350.83,"2018-03-29"
489,489,673,"Current",111838.78,"2025-08-14"
490,490,9914,"Current",154508.11,"2018-10-18"
491,491,26888,"Current",9997.97,"2023-05-05"
492,492,5529,"Current",65248.55,"2020-01-03"
493,493,21540,"Saving",18636.01,"2018-02-23"
494,494,1990,"Current",129979.56,"2022-04-04"
495,495,30063,"Current",39866.14,"2024-06-09"
496,496,6148,"Current",79892.96,"2023-11-26"
497,497,21936,"Saving",92171.36,"2025-11-07"
498,498,36808,"Current",159832.31,"2025-06-01"
499,499,12474,"Current",45178.16,"2020-04-11"
500,500,1719,"Current",131006.78,"2019-04-07"
501,501,35629,"Saving",182415.78,"2019-03-23"
502,502,23671,"Current",32995.81,"2021-05-07"
503,503,36254,"Current",110475.91,"2020-06-23"
504,504,11242,"Saving",146536.58,"2023-04-22"
505,505,2834,"Saving",174102.25,"2022-08-05"
506,506,22057,"Saving",113882.55,"2023-05-01"
507,507,33509,"Current",165112.05,"2020-11-30"
508,508,27808,"Current",46293.79,"2023-03-16"
509,509,32563,"Saving",135396.32,"2018-08-28"
510,510,26650,"Saving",30813.11,"2021-04-28"
511,511,30969,"Saving",72937.89,"2022-12-30"
512,512,36007,"Current",4868.56,"2019-10-18"
513,513,37540,"Current",10225.22,"2022-11-24"
514,514,21061,"Current",28423.3,"2024-03-26"
515,515,45344,"Saving",163899.39,"2020-08-17"
516,516,11020,"Saving",94318.6,"2019-05-08"
517,517,45951,"Current",4584.19,"2024-09-28"
518,518,47155,"Current",171548.21,"2022-02-06"
519,519,20539,"Current",190687.0,"2018-06-07"
520,520,25522,"Saving",90619.49,"2025-03-25"
521,521,8619,"Saving",17216.85,"2025-03-03"
522,522,11447,"Saving",177998.64,"2023-03-18"
523,523,16309,"Current",41532.28,"2021-12-11"
524,524,18228,"Saving",178952.5,"2019-11-19"
525,525,16454,"Current",144399.2,"2021-08-31"
526,526,29399,"Saving",65502.52,"2020-03-17"
527,527,1189,"Saving",184227.68,"2020-07-10"
528,528,33030,"Current",133111.6,"2024-03-26"
529,529,21234,"Saving",164796.57,"2024-11-23"
530,530,23092,"Saving",23552.55,"2018-05-31"
531,531,4340,"Current",9867.14,"2020-02-20"
532,532,43348,"Saving",191812.77,"2023-07-01"
533,533,28144,"Saving",33138.86,"2023-04-27"
534,534,3950,"Saving",51881.1,"2023-01-23"
535,535,20666,"Saving",94922.15,"2022-05-03"
536,536,49079,"Current",44971.42,"2022-03-25"
537,537,33896,"Saving",186733.17,"2019-04-14"
538,538,17213,"Saving",162410.72,"2020-05-09"
539,539,947,"Saving",78748.02,"2023-01-03"
540,540,38868,"Saving",33297.47,"2024-03-28"
541,541,23853,"Current",54769.02,"2022-12-19"
542,542,15037,"Saving",92522.68,"2020-01-04"
543,543,18572,"Current",26170.95,"2018-11-14"
544,544,3243,"Current",61474.65,"2025-10-14"
545,545,1047,"Saving",188113.15,"2021-10-30"
546,546,46478,"Saving",182036.9,"2020-07-02"
547,547,47399,"Current",34665.73,"2019-02-23"
