"loan_id";"customer_id";"branch_id";"loan_type";"loan_amount";"interest_rate";"start_date"
60;47654;37672;"Home Loan";2513225.31;9.05;"2019-01-15"
61;16720;17372;"Education Loan";3467324.4;10.93;"2023-10-14"
62;34295;3975;"Education Loan";2567242.4;8.15;"2019-08-28"
63;11255;4669;"Home Loan";406887.93;8.12;"2024-05-12"
64;25613;36293;"Personal Loan";4598686.73;7.82;"2021-01-21"
65;39867;41169;"Home Loan";825737.96;9.12;"2021-03-09"
66;5501;39385;"Personal Loan";3660730.31;9.4;"2023-07-18"
67;44610;25145;"Personal Loan";1827619.51;8.51;"2024-02-03"
68;4186;14541;"Education Loan";4371358.5;8.04;"2022-01-02"
69;25246;42277;"Home Loan";3434350.38;11.08;"2018-09-20"
70;14623;12557;"Personal Loan";2051414.4;8.91;"2019-09-28"
71;15442;38336;"Education Loan";2567669.06;6.85;"2021-05-12"
72;41027;13878;"Home Loan";4539806.03;11.28;"2021-12-28"
73;30454;10397;"Car Loan";2993416.83;7.21;"2019-05-12"
74;47334;16491;"Home Loan";4750077.04;10.19;"2025-02-05"
75;42912;12748;"Personal Loan";2102092.71;11.25;"2020-02-23"
76;15775;35314;"Personal Loan";502747.51;11.99;"2024-07-12"
77;49580;14406;"Education Loan";3211591.05;7.58;"2025-04-17"
78;46259;26432;"Personal Loan";995024.97;7.1;"2025-01-02"
79;348;14345;"Personal Loan";3327579.37;8.91;"2024-03-14"
80;41847;39878;"Car Loan";2659073.95;11.23;"2022-06-18"
81;17483;16791;"Personal Loan";1791245.71;11.46;"2025-08-22"
82;10833;29447;"Education Loan";1669275.5;11.84;"2021-01-17"
83;26012;14120;"Personal Loan";3332453.63;11.64;"2023-04-29"
84;4287;44714;"Personal Loan";253560.07;6.68;"2023-06-27"
85;7444;30253;"Personal Loan";903681.17;8.61;"2018-04-30"
86;1745;30046;"Personal Loan";3801157.01;9.8;"2021-04-14"
87;41478;9587;"Education Loan";2620785.41;8.13;"2018-07-31"
88;35787;46421;"Personal Loan";4249445.82;8.58;"2022-11-11"
89;16695;36459;"Education Loan";249775.38;6.89;"2018-05-18"
90;23045;29627;"Home Loan";3158881.22;9.93;"2021-06-28"
91;41111;45623;"Home Loan";4298308.5;8.97;"2020-12-21"
92;22672;22533;"Home Loan";2284871.57;8.92;"2020-11-02"
93;2410;9978;"Personal Loan";4196390.86;12.04;"2019-03-03"
94;8110;32783;"Car Loan";3647517.76;10.71;"2024-10-18"
95;45802;29538;"Home Loan";3919328.37;9.92;"2018-08-01"
96;29104;31983;"Education Loan";4662127.73;9.2;"2018-06-07"
97;48747;38813;"Car Loan";2989875.18;8.09;"2021-08-11"
98;2364;5199;"Home Loan";70996.37;8.15;"2022-10-09"
99;10401;23259;"Education Loan";1840387.28;7.46;"2018-03-23"
100;10976;12580;"Education Loan";185432.05;8.13;"2019-08-30"
101;26736;12866;"Personal Loan";942153.63;7.65;"2018-05-28"
102;11128;13905;"Education Loan";2774318.04;8.23;"2025-01-02"
103;2055;41956;"Home Loan";3653230.27;6.69;"2023-12-28"
104;46334;12483;"Education Loan";1402374.47;7.15;"2021-08-01"
105;14631;35123;"Car Loan";2984093.01;12.08;"2024-09-23"
106;36770;23977;"Personal Loan";3386729.34;11.82;"2024-08-17"
107;49676;10652;"Car Loan";448319.2;7.71;"2022-12-25"
108;21865;48960;"Home Loan";538373.47;8.14;"2022-10-02"
109;30999;9248;"Education Loan";4897391.74;7.36;"2019-04-20"
110;29340;49448;"Education Loan";4044187.59;9.6;"2024-10-04"
111;14151;47004;"Car Loan";1868046.31;10.24;"2019-07-01"
112;9695;7961;"Car Loan";4541917.92;8.47;"2021-09-29"
113;20761;45111;"Personal Loan";983509.48;9.23;"2025-08-18"
114;4215;30465;"Home Loan";540807.45;8.13;"2020-12-01"
115;36844;8965;"Home Loan";3407008.19;8.73;"2021-09-29"
116;29;9139;"Personal Loan";3664461.8;8.05;"2025-09-27"
117;47696;26259;"Education Loan";2058502.42;8.0;"2019-08-18"
118;29111;43982;"Home Loan";1549900.18;12.49;"2021-02-13"
119;25965;36832;"Home Loan";2147017.2;6.89;"2024-11-28"
120;36283;26785;"Home Loan";1301250.84;7.72;"2021-08-06"
121;28575;46004;"Home Loan";3564171.33;9.39;"2021-10-16"
122;22731;9177;"Education Loan";3678743.95;11.06;"2024-02-13"
123;36230;36910;"Education Loan";1082286.99;11.32;"2021-09-10"
124;6447;21954;"Home Loan";3999732.63;9.94;"2021-07-05"
125;15395;32024;"Home Loan";3915370.98;10.7;"2020-06-17"
126;20957;39860;"Personal Loan";3091272.52;10.32;"2023-10-20"
127;42433;667;"Car Loan";1893447.1;11.45;"2019-02-13"
128;41484;46475;"Car Loan";2916182.62;6.62;"2023-08-07"
129;25943;44716;"Home Loan";2708693.11;11.68;"2025-07-19"
130;35034;25951;"Personal Loan";1014203.03;9.21;"2018-05-31"
131;37887;17080;"Education Loan";1301474.23;10.82;"2022-06-14"
132;31520;46113;"Education Loan";2901595.97;6.82;"2018-05-11"
133;19460;20382;"Home Loan";859947.13;10.21;"2020-03-31"
134;18289;18076;"Personal Loan";2161094.68;10.37;"2020-09-08"
135;9132;36549;"Education Loan";2619282.32;12.08;"2018-03-05"
136;27727;34608;"Car Loan";2060749.32;10.51;"2020-12-05"
137;38046;5860;"Car Loan";4684849.9;6.88;"2018-11-28"
138;5013;12545;"Personal Loan";763738.9;12.07;"2022-12-01"
139;48432;29846;"Education Loan";2759003.23;8.29;"2025-03-30"
140;39552;10299;"Education Loan";3759008.77;8.53;"2024-08-07"
141;6806;31276;"Education Loan";3519420.97;10.59;"2023-12-28"
142;16732;18319;"Personal Loan";3227540.33;7.91;"2025-04-23"
143;7385;1036;"Education Loan";3065639.51;8.01;"2020-07-13"
144;41296;9972;"Car Loan";2570993.23;12.5;"2018-12-29"
145;5964;39065;"Car Loan";3994085.37;7.45;"2022-09-26"
146;17946;12639;"Personal Loan";661045.46;6.98;"2024-02-26"
147;24663;31760;"Car Loan";890045.89;11.41;"2025-04-23"
148;35541;34986;"Car Loan";2060213.9;12.47;"2024-04-04"
149;3774;36021;"Personal Loan";540180.3;12.13;"2018-09-18"
150;33601;11567;"Home Loan";1791942.55;12.02;"2022-03-19"
151;17020;46646;"Education Loan";3375631.82;11.8;"2020-02-12"
152;861;34892;"Car Loan";4170657.19;8.26;"2020-01-18"
153;29837;24827;"Home Loan";1681846.69;7.19;"2021-10-13"
154;47751;19786;"Home Loan";2151260.46;12.45;"2021-03-15"
155;25364;35986;"Car Loan";2833974.6;7.94;"2024-09-18"
156;1512;12689;"Car Loan";1629699.53;7.17;"2023-06-18"
157;46611;14104;"Home Loan";400528.7;8.14;"2020-08-06"
158;14067;15123;"Education Loan";1412879.77;11.45;"2024-06-22"
159;38609;42922;"Personal Loan";1761953.46;6.51;"2018-10-10"
160;27210;467;"Home Loan";316941.23;10.14;"2024-12-20"
161;14224;41879;"Personal Loan";4348862.83;9.91;"2025-09-15"
162;28920;6492;"Car Loan";1485852.34;9.41;"2023-04-22"
163;23920;2423;"Education Loan";4759928.11;12.33;"2018-11-24"
164;32828;4382;"Car Loan";2185540.46;7.26;"2025-10-30"
165;48689;29584;"Car Loan";1470119.64;11.74;"2022-12-27"
166;11421;44630;"Personal Loan";4392421.87;7.48;"2025-08-30"
167;10592;32320;"Personal Loan";4414276.01;7.02;"2023-07-03"
168;28384;25435;"Personal Loan";3955646.3;9.95;"2018-11-07"
169;48875;30320;"Car Loan";2380830.13;10.56;"2021-07-15"
170;30541;10464;"Personal Loan";4745818.35;11.74;"2024-08-03"
171;15993;49470;"Education Loan";2132642.57;7.88;"2021-07-12"
172;21852;26468;"Education Loan";1842513.68;12.27;"2019-05-14"
173;41386;25089;"Car Loan";3172801.12;8.69;"2025-02-02"
174;36246;35491;"Personal Loan";1905409.06;11.21;"2019-12-04"
175;38657;3859;"Education Loan";4437680.79;8.08;"2019-10-05"
176;13807;42127;"Personal Loan";4383311.69;10.04;"2023-07-03"
177;30790;36555;"Car Loan";4707598.43;6.92;"2024-07-02"
178;45584;49171;"Home Loan";118080.55;8.85;"2019-09-13"
179;12380;10080;"Education Loan";4932312.28;8.2;"2023-03-27"
180;10562;6805;"Education Loan";977607.65;10.28;"2020-10-13"
181;8489;43597;"Car Loan";489359.62;9.06;"2018-03-23"
182;47856;15348;"Home Loan";1888108.89;8.4;"2022-01-21"
183;19566;26450;"Education Loan";3844292.14;11.86;"2020-03-11"
184;49137;3410;"Personal Loan";194561.83;11.4;"2023-10-02"
185;21229;39554;"Car Loan";4638634.21;7.01;"2019-04-26"
186;20869;48286;"Home Loan";1402502.47;7.53;"2025-05-08"
187;40917;45002;"Home Loan";4724950.14;10.87;"2021-08-29"
188;3617;48225;"Car Loan";2516029.05;12.22;"2025-07-24"
189;35732;47641;"Personal Loan";4545279.79;7.44;"2021-11-24"
190;40409;32676;"Personal Loan";3154039.77;11.2;"2021-11-26"
191;39955;276;"Education Loan";1542744.88;8.87;"2024-05-28"
192;33111;40780;"Personal Loan";260985.33;11.3;"2019-03-22"
193;32093;38715;"Education Loan";1756069.66;12.36;"2023-03-13"
194;44387;29583;"Education Loan";2997465.58;9.04;"2024-12-17"
195;10742;25819;"Education Loan";2393860.89;9.64;"2022-03-26"
196;36812;25925;"Education Loan";1330107.46;11.12;"2021-08-07"
197;44970;21666;"Personal Loan";156796.45;9.5;"2023-02-24"
198;10505;34500;"Education Loan";4004709.55;8.07;"2020-01-25"
199;42852;27572;"Education Loan";3356566.27;6.78;"2018-07-17"
200;912;24050;"Personal Loan";339607.71;6.99;"2025-03-03"
201;5595;6267;"Personal Loan";4508352.96;11.85;"2019-08-21"
202;17540;26758;"Home Loan";1204237.94;12.22;"2022-03-09"
203;2988;32553;"Home Loan";3015100.12;11.41;"2020-07-10"
204;45647;5908;"Personal Loan";3268588.73;8.76;"2021-09-21"
205;21510;31508;"Home Loan";2640728.4;7.29;"2024-04-05"
206;1349;16244;"Education Loan";782429.96;7.01;"2020-12-26"
207;38614;7229;"Personal Loan";530571.86;7.54;"2022-04-03"
208;33498;10865;"Education Loan";3081588.15;6.66;"2019-04-18"
209;23240;31786;"Car Loan";523699.77;9.63;"2020-08-04"
210;48386;15830;"Education Loan";2039676.31;9.2;"2025-07-29"
211;33995;8472;"Home Loan";1028085.72;10.33;"2024-11-01"
212;11515;13954;"Home Loan";4077546.64;8.77;"2021-07-07"
213;23366;17793;"Education Loan";2436243.23;9.66;"2022-11-19"
214;47755;35789;"Home Loan";4841670.15;8.45;"2022-07-23"
215;23804;18239;"Car Loan";4776140.37;8.35;"2018-05-19"
216;14260;10985;"Car Loan";1763883.99;7.28;"2019-05-10"
217;17983;5732;"Car Loan";4899312.81;7.32;"2024-05-01"
218;33235;43884;"Education Loan";845625.79;12.06;"2020-05-22"
219;16491;2596;"Education Loan";4990077.87;10.33;"2018-08-05"
220;39471;334;"Personal Loan";1189644.71;12.02;"2023-10-08"
221;49215;6311;"Education Loan";1983413.19;7.07;"2021-03-25"
222;29026;19789;"Home Loan";1024117.68;12.16;"2022-03-01"
223;9751;20806;"Home Loan";2651329.56;11.32;"2021-06-06"
224;9586;36955;"Car Loan";3240851.98;12.34;"2023-07-22"
225;23764;46657;"Car Loan";4431923.05;9.97;"2021-12-07"
226;14652;25065;"Personal Loan";3838695.76;9.3;"2022-09-24"
227;44515;6561;"Car Loan";3354054.64;6.57;"2018-01-09"
228;35413;25755;"Car Loan";1135548.54;10.25;"2021-04-03"
229;4927;23004;"Car Loan";4684579.04;9.88;"2022-06-07"
230;30072;43101;"Education Loan";633410.72;6.57;"2025-06-10"
231;25615;170;"Home Loan";1087962.13;12.44;"2019-05-11"
232;7009;42792;"Personal Loan";3743732.84;7.25;"2025-06-27"
233;12873;43826;"Car Loan";2542815.56;10.9;"2020-09-01"
234;4823;38930;"Personal Loan";3500542.29;10.4;"2023-02-07"
235;35313;9467;"Car Loan";1870133.37;11.14;"2022-06-14"
236;3604;14733;"Education Loan";2834221.94;12.41;"2021-02-14"
237;12776;41957;"Car Loan";4431959.95;11.05;"2024-05-19"
238;9214;36722;"Personal Loan";1951670.31;11.8;"2022-05-15"
239;37467;47377;"Car Loan";2380477.07;10.4;"2021-10-23"
240;41481;49174;"Car Loan";2043799.93;7.64;"2020-04-06"
241;15276;27822;"Education Loan";3145196.89;10.86;"2024-11-13"
242;11723;45858;"Car Loan";4432364.44;11.48;"2020-07-12"
243;49851;5720;"Education Loan";1660063.32;9.96;"2025-03-14"
244;42991;33536;"Home Loan";2783043.4;10.36;"2017-12-19"
245;12450;14691;"Personal Loan";1979630.45;11.38;"2025-05-19"
246;29333;22333;"Education Loan";4485404.15;8.59;"2018-12-04"
247;48382;37032;"Car Loan";3301607.71;10.13;"2020-09-07"
248;41555;28759;"Personal Loan";3042804.99;8.84;"2019-08-15"
249;34568;40367;"Personal Loan";687250.12;9.72;"2024-11-10"
250;17641;10901;"Car Loan";1889278.86;8.08;"2023-09-30"
251;11432;13753;"Education Loan";1802876.88;11.64;"2022-03-15"
252;35334;48504;"Education Loan";1674692.32;8.4;"2018-02-13"
253;27109;16152;"Personal Loan";903053.66;7.53;"2025-04-05"
254;34757;9072;"Car Loan";1355820.38;7.9;"2022-10-09"
255;13436;49024;"Car Loan";596162.8;8.63;"2024-03-25"
256;7181;6194;"Personal Loan";1146486.58;8.2;"2021-05-21"
257;30438;22325;"Home Loan";2396893.07;8.8;"2025-09-22"
258;29215;24684;"Car Loan";3590913.26;11.73;"2023-01-09"
259;31294;11394;"Personal Loan";4261760.78;9.89;"2018-12-25"
260;22967;37627;"Personal Loan";1914826.78;10.84;"2024-03-29"
261;37032;34083;"Personal Loan";4358959.69;9.02;"2018-09-09"
262;47499;10613;"Education Loan";1080973.68;11.1;"2025-07-14"
263;30261;4312;"Personal Loan";315957.05;11.04;"2018-10-18"
264;11104;43214;"Education Loan";1844353.28;9.83;"2020-01-24"
265;29667;6367;"Education Loan";4961295.84;11.33;"2024-02-15"
266;32780;34071;"Home Loan";3511929.08;8.83;"2018-04-12"
267;26417;42168;"Car Loan";4907916.78;12.12;"2024-02-20"
268;11980;16209;"Education Loan";4903298.01;12.48;"2019-08-18"
269;14839;36436;"Personal Loan";4219122.26;9.3;"2020-04-10"
270;24522;4692;"Education Loan";2522926.96;7.44;"2024-07-27"
271;9521;46572;"Personal Loan";3758495.49;8.09;"2018-02-03"
272;48036;30145;"Personal Loan";4738368.15;8.11;"2023-07-16"
273;22127;44220;"Car Loan";2551072.17;8.33;"2025-02-07"
274;32708;13081;"Home Loan";781198.31;9.41;"2023-06-23"
275;11806;2842;"Home Loan";2210499.62;7.1;"2022-11-17"
276;27303;6856;"Personal Loan";1291183.12;7.1;"2019-01-21"
277;42418;4664;"Personal Loan";2309945.52;9.36;"2020-11-12"
278;13321;3450;"Education Loan";203335.36;10.82;"2025-04-12"
279;34780;8954;"Car Loan";2901625.13;7.77;"2023-04-06"
280;14918;34523;"Personal Loan";1641986.34;7.55;"2025-11-02"
281;23197;27415;"Car Loan";433822.45;6.78;"2022-10-30"
282;21171;3689;"Personal Loan";3266991.48;7.29;"2020-06-17"
283;23111;31944;"Car Loan";1775672.17;7.05;"2022-08-10"
284;37450;6346;"Personal Loan";487287.05;8.42;"2024-07-07"
285;24262;43360;"Car Loan";4210174.98;7.98;"2025-06-29"
286;3074;6850;"Education Loan";622061.07;11.11;"2023-09-08"
287;22152;8445;"Personal Loan";3578744.15;11.32;"2023-10-31"
288;20917;4875;"Car Loan";4525334.81;11.88;"2024-02-04"
289;20870;4639;"Car Loan";4775922.43;8.53;"2025-02-15"
290;32714;4322;"Personal Loan";3898953.78;11.71;"2020-06-10"
291;45819;7639;"Car Loan";1518934.11;9.58;"2023-06-20"
292;24902;4250;"Home Loan";1782533.97;7.53;"2023-05-07"
293;38842;28974;"Education Loan";4591850.21;10.43;"2018-11-06"
294;25767;12706;"Personal Loan";4476353.54;11.16;"2018-12-30"
295;34082;19860;"Education Loan";2910101.08;10.4;"2024-12-10"
296;18938;32022;"Education Loan";487249.67;12.45;"2024-09-03"
297;40625;39760;"Education Loan";4571985.8;7.01;"2023-06-23"
298;27490;28106;"Home Loan";4382501.8;8.85;"2022-01-24"
299;24867;8145;"Car Loan";259959.88;7.14;"2018-07-18"
300;7614;11567;"Home Loan";180587.71;11.55;"2020-11-09"
301;26645;45050;"Home Loan";1824391.2;8.71;"2024-05-20"
302;18309;47521;"Car Loan";1364796.87;10.13;"2018-10-28"
303;40938;11697;"Home Loan";4573541.23;10.73;"2022-02-05"
304;34155;14782;"Education Loan";1203500.69;10.58;"2018-02-01"
305;46850;4926;"Car Loan";4505686.11;10.69;"2024-05-24"
306;33899;44688;"Personal Loan";1477946.83;7.89;"2024-07-14"
307;852;10263;"Home Loan";900354.61;8.95;"2024-02-02"
308;14317;1977;"Personal Loan";635763.71;9.46;"2024-10-04"
309;17441;20731;"Home Loan";522014.47;9.48;"2022-09-28"
310;40942;5819;"Car Loan";1286005.82;10.08;"2019-10-30"
311;20939;5407;"Home Loan";4781913.0;8.58;"2023-12-24"
312;21257;30185;"Home Loan";1733673.18;10.57;"2022-01-30"
313;33709;48824;"Education Loan";1908596.77;7.28;"2021-06-13"
314;48759;13327;"Home Loan";3529318.77;7.31;"2022-08-23"
315;41938;14147;"Car Loan";1276302.18;11.24;"2020-10-29"
316;39797;8779;"Education Loan";1874020.52;6.54;"2021-10-03"
317;26172;6733;"Personal Loan";1133474.72;9.46;"2018-12-28"
318;31471;13766;"Car Loan";606479.13;7.63;"2018-10-29"
319;557;43090;"Education Loan";1808394.01;6.8;"2024-08-04"
320;33350;25455;"Education Loan";2584978.01;12.26;"2020-07-15"
321;15898;30301;"Home Loan";358009.81;9.13;"2018-09-08"
322;5190;9569;"Home Loan";3594576.44;9.6;"2022-12-26"
323;34372;49264;"Education Loan";4510547.52;7.78;"2019-12-04"
324;1324;42761;"Home Loan";990154.13;9.4;"2020-02-07"
325;28477;32386;"Personal Loan";1277862.65;10.05;"2025-04-19"
326;14310;37678;"Education Loan";1787535.07;7.28;"2025-12-06"
327;2058;41896;"Home Loan";4944627.44;8.9;"2018-08-02"
328;2731;23827;"Car Loan";2527246.49;12.37;"2020-03-20"
329;11312;2794;"Car Loan";1004270.94;9.35;"2024-08-30"
330;15143;4263;"Education Loan";3393411.44;7.2;"2019-10-28"
331;44708;20360;"Personal Loan";4479067.15;9.45;"2018-03-25"
332;3525;35084;"Personal Loan";662426.79;9.44;"2018-11-23"
333;21361;3484;"Education Loan";3873614.93;12.09;"2021-04-29"
334;39713;38784;"Education Loan";268002.61;10.58;"2019-02-03"
335;6570;36889;"Personal Loan";642506.97;9.53;"2018-12-11"
336;39608;17216;"Home Loan";1684455.12;6.85;"2018-03-10"
337;48530;5631;"Education Loan";2216967.96;8.83;"2023-12-22"
338;28921;48890;"Home Loan";4591414.96;10.82;"2020-12-14"
339;31570;39667;"Education Loan";3168622.43;10.51;"2020-07-07"
340;11593;6852;"Personal Loan";1292569.98;10.38;"2019-03-05"
341;4215;14638;"Home Loan";3347612.79;9.47;"2024-11-13"
342;17459;1865;"Personal Loan";1475374.66;7.02;"2019-07-24"
343;3016;11811;"Car Loan";2150579.52;6.8;"2024-04-06"
344;19039;42810;"Education Loan";359235.29;9.76;"2024-01-17"
345;21785;8890;"Car Loan";4813399.3;8.01;"2024-08-23"
346;47567;47807;"Personal Loan";4586336.58;6.72;"2022-06-28"
347;11088;26830;"Personal Loan";2299827.56;8.14;"2020-08-21"
348;38687;31750;"Home Loan";466740.16;11.15;"2022-11-08"
349;16215;31838;"Personal Loan";3137072.26;8.84;"2023-09-23"
350;29751;17205;"Home Loan";1758917.68;10.13;"2025-09-02"
351;10302;19686;"Home Loan";74747.9;11.66;"2019-01-28"
352;35804;25642;"Personal Loan";4333345.9;12.23;"2025-10-11"
353;37798;29080;"Education Loan";2719649.58;7.93;"2020-04-12"
354;11234;42632;"Education Loan";278066.64;8.44;"2017-12-28"
355;10659;39942;"Education Loan";4396470.63;7.75;"2023-07-08"
356;21240;49730;"Education Loan";1721618.73;10.49;"2021-08-05"
357;16216;29887;"Home Loan";2490814.94;11.96;"2019-09-03"
358;41908;36538;"Education Loan";2230762.46;11.75;"2018-01-11"
359;40874;43752;"Education Loan";3061433.99;10.96;"2024-02-09"
360;44690;33986;"Personal Loan";3980658.04;10.35;"2020-10-24"
361;28118;32941;"Home Loan";2336012.2;9.41;"2022-02-27"
362;29089;2159;"Personal Loan";1501849.26;11.17;"2025-06-19"
363;15404;45800;"Home Loan";3865674.6;11.03;"2020-03-20"
364;18152;20408;"Personal Loan";1918758.93;12.25;"2019-05-27"
365;45210;42482;"Education Loan";3005401.53;9.44;"2023-06-02"
366;37588;21567;"Car Loan";125436.97;9.84;"2019-09-23"
367;19496;37047;"Personal Loan";3021353.33;9.87;"2018-08-16"
368;35144;24762;"Personal Loan";4451908.54;11.47;"2018-06-13"
369;38339;8899;"Home Loan";3869148.81;10.46;"2018-02-12"
370;1208;29500;"Car Loan";3536137.78;10.28;"2022-11-01"
371;23456;12324;"Car Loan";2542200.9;8.91;"2024-02-13"
372;34632;14628;"Home Loan";1114634.99;12.2;"2024-10-22"
373;27407;47820;"Education Loan";2710782.85;9.71;"2019-10-18"
374;38892;25096;"Car Loan";3038137.15;7.05;"2020-06-16"
375;44083;29776;"Home Loan";293082.61;11.33;"2021-01-29"
376;27941;49523;"Home Loan";1163775.25;9.84;"2025-05-30"
377;13369;9204;"Home Loan";2818700.62;6.88;"2018-10-01"
378;31004;26612;"Home Loan";4223000.33;6.76;"2017-12-16"
379;46985;33665;"Car Loan";819048.45;11.41;"2018-03-19"
380;28956;48207;"Education Loan";3723626.82;10.06;"2025-03-03"
381;44205;9087;"Education Loan";4942615.84;12.3;"2020-01-20"
382;518;42583;"Home Loan";2181156.96;8.94;"2025-01-03"
383;11895;40051;"Car Loan";3206306.27;9.74;"2019-02-01"
384;21766;6282;"Home Loan";2584938.01;8.91;"2021-10-31"
385;12162;30490;"Car Loan";2613543.97;8.54;"2022-01-09"
386;20314;18605;"Education Loan";2156935.77;10.21;"2023-09-18"
387;18462;40337;"Personal Loan";957092.16;9.2;"2024-11-02"
388;18039;19231;"Car Loan";4198341.09;9.11;"2021-08-29"
389;37654;27361;"Personal Loan";3218567.02;8.3;"2021-09-22"
390;20234;39485;"Education Loan";1109993.49;9.61;"2023-07-16"
391;12831;22751;"Home Loan";1036613.82;7.02;"2018-02-14"
392;43810;15193;"Personal Loan";4942004.59;9.35;"2023-04-05"
393;37078;795;"Education Loan";2150519.36;10.04;"2023-12-01"
394;36458;25441;"Home Loan";4859843.26;7.46;"2020-12-10"
395;41430;32532;"Home Loan";2711417.45;7.18;"2018-08-13"
396;44480;6497;"Education Loan";556680.05;6.67;"2020-09-03"
397;24286;33081;"Home Loan";4294726.59;10.12;"2018-11-01"
398;46258;30575;"Home Loan";4046381.08;8.36;"2021-10-22"
399;1302;5070;"Home Loan";3662166.79;9.21;"2018-09-07"
400;43189;27296;"Home Loan";2263338.44;8.26;"2017-12-15"
401;48252;27206;"Education Loan";3790484.27;11.39;"2018-01-27"
402;17217;19132;"Car Loan";2902096.85;10.78;"2025-11-20"
403;49273;33259;"Personal Loan";746302.14;9.72;"2019-11-06"
404;36368;43502;"Personal Loan";420287.64;6.8;"2018-09-09"
405;20982;24673;"Personal Loan";4564943.2;11.11;"2019-10-11"
406;29833;10041;"Car Loan";4924669.19;9.7;"2022-10-19"
407;39288;37412;"Education Loan";4183581.97;10.58;"2018-04-15"
408;37287;15349;"Home Loan";4218492.12;9.33;"2022-11-20"
