"branch_id";"branch_name";"branch_code";"city";"ifsc_code"
50;"Allahabad Branch 50";"BR00050";"Hindupur";"IFSC00050"
51;"Giridih Branch 51";"BR00051";"Kanpur";"IFSC00051"
52;"Aligarh Branch 52";"BR00052";"Firozabad";"IFSC00052"
53;"Pondicherry Branch 53";"BR00053";"Hazaribagh";"IFSC00053"
54;"Tumkur Branch 54";"BR00054";"Danapur";"IFSC00054"
55;"Hapur Branch 55";"BR00055";"Kanpur";"IFSC00055"
56;"Varanasi Branch 56";"BR00056";"Karimnagar";"IFSC00056"
57;"Pune Branch 57";"BR00057";"Agra";"IFSC00057"
58;"Kalyan-Dombivli Branch 58";"BR00058";"Saharsa";"IFSC00058"
59;"Jalandhar Branch 59";"BR00059";"Bhilai";"IFSC00059"
60;"Junagadh Branch 60";"BR00060";"Morbi";"IFSC00060"
61;"Kadapa Branch 61";"BR00061";"Ranchi";"IFSC00061"
62;"Kanpur Branch 62";"BR00062";"Akola";"IFSC00062"
63;"Bhatpara Branch 63";"BR00063";"Bhavnagar";"IFSC00063"
64;"Aurangabad Branch 64";"BR00064";"Ranchi";"IFSC00064"
65;"Ratlam Branch 65";"BR00065";"Haridwar";"IFSC00065"
66;"Bhilwara Branch 66";"BR00066";"Pudukkottai";"IFSC00066"
67;"Thane Branch 67";"BR00067";"Rohtak";"IFSC00067"
68;"Karaikudi Branch 68";"BR00068";"Gurgaon";"IFSC00068"
69;"Sultan Pur Majra Branch 69";"BR00069";"Loni";"IFSC00069"
70;"Sri Ganganagar Branch 70";"BR00070";"Asansol";"IFSC00070"
71;"Howrah Branch 71";"BR00071";"Udaipur";"IFSC00071"
72;"Bhavnagar Branch 72";"BR00072";"Bettiah";"IFSC00072"
73;"Nellore Branch 73";"BR00073";"Raipur";"IFSC00073"
74;"Nashik Branch 74";"BR00074";"Thrissur";"IFSC00074"
75;"Guna Branch 75";"BR00075";"Belgaum";"IFSC00075"
76;"Morbi Branch 76";"BR00076";"Jehanabad";"IFSC00076"
77;"Chittoor Branch 77";"BR00077";"Durgapur";"IFSC00077"
78;"Singrauli Branch 78";"BR00078";"Kanpur";"IFSC00078"
79;"Panvel Branch 79";"BR00079";"Satara";"IFSC00079"
80;"Nellore Branch 80";"BR00080";"Purnia";"IFSC00080"
81;"Dhule Branch 81";"BR00081";"Chapra";"IFSC00081"
82;"Shimoga Branch 82";"BR00082";"Tumkur";"IFSC00082"
83;"Chandigarh Branch 83";"BR00083";"Mango";"IFSC00083"
84;"Gurgaon Branch 84";"BR00084";"Hyderabad";"IFSC00084"
85;"Pune Branch 85";"BR00085";"Muzaffarpur";"IFSC00085"
86;"Kolkata Branch 86";"BR00086";"Ratlam";"IFSC00086"
87;"Tenali Branch 87";"BR00087";"Mathura";"IFSC00087"
88;"Vijayawada Branch 88";"BR00088";"Nellore";"IFSC00088"
89;"Yamunanagar Branch 89";"BR00089";"Chennai";"IFSC00089"
90;"Kishanganj Branch 90";"BR00090";"Kanpur";"IFSC00090"
91;"Ulhasnagar Branch 91";"BR00091";"Kumbakonam";"IFSC00091"
92;"Hyderabad Branch 92";"BR00092";"Bhusawal";"IFSC00092"
93;"Ozhukarai Branch 93";"BR00093";"Haldia";"IFSC00093"
94;"Haldia Branch 94";"BR00094";"Kozhikode";"IFSC00094"
95;"Guna Branch 95";"BR00095";"Gulbarga";"IFSC00095"
96;"Ichalkaranji Branch 96";"BR00096";"Karawal Nagar";"IFSC00096"
97;"Jamnagar Branch 97";"BR00097";"Panihati";"IFSC00097"
98;"Srikakulam Branch 98";"BR00098";"Gandhinagar";"IFSC00098"
99;"Panvel Branch 99";"BR00099";"Bangalore";"IFSC00099"
100;"South Dumdum Branch 100";"BR00100";"Bangalore";"IFSC00100"
101;"Tadepalligudem Branch 101";"BR00101";"Tirupati";"IFSC00101"
102;"Tadipatri Branch 102";"BR00102";"Bettiah";"IFSC00102"
103;"Pondicherry Branch 103";"BR00103";"Karimnagar";"IFSC00103"
104;"Panvel Branch 104";"BR00104";"Jhansi";"IFSC00104"
105;"Ambala Branch 105";"BR00105";"Agartala";"IFSC00105"
106;"Mira-Bhayandar Branch 106";"BR00106";"Sambhal";"IFSC00106"
107;"Gulbarga Branch 107";"BR00107";"Hyderabad";"IFSC00107"
108;"Dewas Branch 108";"BR00108";"Bellary";"IFSC00108"
109;"Jorhat Branch 109";"BR00109";"Kochi";"IFSC00109"
110;"Nizamabad Branch 110";"BR00110";"Sagar";"IFSC00110"
111;"Chandigarh Branch 111";"BR00111";"Ballia";"IFSC00111"
112;"Gulbarga Branch 112";"BR00112";"Etawah";"IFSC00112"
113;"Anand Branch 113";"BR00113";"Tumkur";"IFSC00113"
114;"Bhiwandi Branch 114";"BR00114";"Unnao";"IFSC00114"
115;"Tadipatri Branch 115";"BR00115";"Phusro";"IFSC00115"
116;"Raipur Branch 116";"BR00116";"Guntakal";"IFSC00116"
117;"Ratlam Branch 117";"BR00117";"Motihari";"IFSC00117"
118;"Mira-Bhayandar Branch 118";"BR00118";"Parbhani";"IFSC00118"
119;"Panihati Branch 119";"BR00119";"Uluberia";"IFSC00119"
120;"Hajipur Branch 120";"BR00120";"Tirunelveli";"IFSC00120"
121;"Khandwa Branch 121";"BR00121";"Jehanabad";"IFSC00121"
122;"Coimbatore Branch 122";"BR00122";"Gandhidham";"IFSC00122"
123;"Rampur Branch 123";"BR00123";"Guna";"IFSC00123"
124;"Bhusawal Branch 124";"BR00124";"Alwar";"IFSC00124"
125;"Guntur Branch 125";"BR00125";"Mango";"IFSC00125"
126;"Panihati Branch 126";"BR00126";"Bhilai";"IFSC00126"
127;"Dehri Branch 127";"BR00127";"Tumkur";"IFSC00127"
128;"Firozabad Branch 128";"BR00128";"Udaipur";"IFSC00128"
129;"Ambala Branch 129";"BR00129";"Delhi";"IFSC00129"
130;"Raichur Branch 130";"BR00130";"Nellore";"IFSC00130"
131;"Durg Branch 131";"BR00131";"Muzaffarpur";"IFSC00131"
132;"Hubli–Dharwad Branch 132";"BR00132";"Bhubaneswar";"IFSC00132"
133;"Tiruvottiyur Branch 133";"BR00133";"Phusro";"IFSC00133"
134;"Hosur Branch 134";"BR00134";"Ramagundam";"IFSC00134"
135;"Bardhaman Branch 135";"BR00135";"Visakhapatnam";"IFSC00135"
136;"Bhind Branch 136";"BR00136";"Pudukkottai";"IFSC00136"
137;"Kochi Branch 137";"BR00137";"Bardhaman";"IFSC00137"
138;"Kirari Suleman Nagar Branch 138";"BR00138";"Delhi";"IFSC00138"
139;"Ranchi Branch 139";"BR00139";"Sultan Pur Majra";"IFSC00139"
140;"Pali Branch 140";"BR00140";"Mahbubnagar";"IFSC00140"
141;"Bahraich Branch 141";"BR00141";"Ulhasnagar";"IFSC00141"
142;"Sonipat Branch 142";"BR00142";"Sambalpur";"IFSC00142"
143;"Hubli–Dharwad Branch 143";"BR00143";"Kanpur";"IFSC00143"
144;"Jodhpur Branch 144";"BR00144";"Farrukhabad";"IFSC00144"
145;"Sasaram Branch 145";"BR00145";"Ramgarh";"IFSC00145"
146;"Maheshtala Branch 146";"BR00146";"Bhalswa Jahangir Pur";"IFSC00146"
147;"Bongaigaon Branch 147";"BR00147";"Muzaffarpur";"IFSC00147"
148;"Bhusawal Branch 148";"BR00148";"Darbhanga";"IFSC00148"
149;"Dhule Branch 149";"BR00149";"Nadiad";"IFSC00149"
150;"Purnia Branch 150";"BR00150";"Haridwar";"IFSC00150"
151;"Rajkot Branch 151";"BR00151";"Agra";"IFSC00151"
152;"Eluru Branch 152";"BR00152";"Hubli–Dharwad";"IFSC00152"
153;"Gwalior Branch 153";"BR00153";"Rourkela";"IFSC00153"
154;"Thrissur Branch 154";"BR00154";"Alappuzha";"IFSC00154"
155;"Bihar Sharif Branch 155";"BR00155";"Bhilwara";"IFSC00155"
156;"Khandwa Branch 156";"BR00156";"Delhi";"IFSC00156"
157;"Gangtok Branch 157";"BR00157";"Sasaram";"IFSC00157"
158;"Berhampore Branch 158";"BR00158";"Anantapuram";"IFSC00158"
159;"Bidar Branch 159";"BR00159";"Miryalaguda";"IFSC00159"
160;"Aurangabad Branch 160";"BR00160";"Avadi";"IFSC00160"
161;"Bhubaneswar Branch 161";"BR00161";"Faridabad";"IFSC00161"
162;"Pune Branch 162";"BR00162";"Purnia";"IFSC00162"
163;"Bilaspur Branch 163";"BR00163";"Ambala";"IFSC00163"
164;"Purnia Branch 164";"BR00164";"Davanagere";"IFSC00164"
165;"Tirupati Branch 165";"BR00165";"Ranchi";"IFSC00165"
166;"Noida Branch 166";"BR00166";"Howrah";"IFSC00166"
167;"Mirzapur Branch 167";"BR00167";"Malegaon";"IFSC00167"
168;"Kolhapur Branch 168";"BR00168";"Ahmednagar";"IFSC00168"
169;"Ajmer Branch 169";"BR00169";"Panvel";"IFSC00169"
170;"Chandrapur Branch 170";"BR00170";"Bardhaman";"IFSC00170"
171;"Sirsa Branch 171";"BR00171";"Sasaram";"IFSC00171"
172;"Fatehpur Branch 172";"BR00172";"Kolkata";"IFSC00172"
173;"Mahbubnagar Branch 173";"BR00173";"Hubli–Dharwad";"IFSC00173"
174;"Agartala Branch 174";"BR00174";"Bharatpur";"IFSC00174"
175;"Saharsa Branch 175";"BR00175";"Moradabad";"IFSC00175"
176;"Dibrugarh Branch 176";"BR00176";"Khora ";"IFSC00176"
177;"Hubli–Dharwad Branch 177";"BR00177";"Jamalpur";"IFSC00177"
178;"Dindigul Branch 178";"BR00178";"Barasat";"IFSC00178"
179;"Bhiwandi Branch 179";"BR00179";"Srinagar";"IFSC00179"
180;"Phagwara Branch 180";"BR00180";"Surendranagar Dudhrej";"IFSC00180"
181;"Miryalaguda Branch 181";"BR00181";"Jalandhar";"IFSC00181"
182;"Khandwa Branch 182";"BR00182";"Ranchi";"IFSC00182"
183;"Ajmer Branch 183";"BR00183";"Ghaziabad";"IFSC00183"
184;"Muzaffarnagar Branch 184";"BR00184";"Dharmavaram";"IFSC00184"
185;"Jabalpur Branch 185";"BR00185";"Bhiwani";"IFSC00185"
186;"Amroha Branch 186";"BR00186";"Sirsa";"IFSC00186"
187;"Rourkela Branch 187";"BR00187";"Mehsana";"IFSC00187"
188;"Panihati Branch 188";"BR00188";"Chittoor";"IFSC00188"
189;"Sri Ganganagar Branch 189";"BR00189";"Tenali";"IFSC00189"
190;"Guntakal Branch 190";"BR00190";"Mira-Bhayandar";"IFSC00190"
191;"Hapur Branch 191";"BR00191";"Kumbakonam";"IFSC00191"
192;"Phagwara Branch 192";"BR00192";"Sultan Pur Majra";"IFSC00192"
193;"Rohtak Branch 193";"BR00193";"Ozhukarai";"IFSC00193"
194;"Jehanabad Branch 194";"BR00194";"Panihati";"IFSC00194"
195;"Hubli–Dharwad Branch 195";"BR00195";"Bareilly";"IFSC00195"
196;"Jorhat Branch 196";"BR00196";"Hospet";"IFSC00196"
197;"Nandyal Branch 197";"BR00197";"Haridwar";"IFSC00197"
198;"Sonipat Branch 198";"BR00198";"Baranagar";"IFSC00198"
199;"Vasai-Virar Branch 199";"BR00199";"Ratlam";"IFSC00199"
200;"Guwahati Branch 200";"BR00200";"Muzaffarpur";"IFSC00200"
201;"Suryapet Branch 201";"BR00201";"Surat";"IFSC00201"
202;"Raurkela Industrial Township Branch 202";"BR00202";"Anand";"IFSC00202"
203;"Hubli–Dharwad Branch 203";"BR00203";"Chittoor";"IFSC00203"
204;"Aurangabad Branch 204";"BR00204";"Salem";"IFSC00204"
205;"Delhi Branch 205";"BR00205";"Kollam";"IFSC00205"
206;"Nagpur Branch 206";"BR00206";"Arrah";"IFSC00206"
207;"Dindigul Branch 207";"BR00207";"Aligarh";"IFSC00207"
208;"Bharatpur Branch 208";"BR00208";"Darbhanga";"IFSC00208"
209;"Gaya Branch 209";"BR00209";"Rampur";"IFSC00209"
210;"Katni Branch 210";"BR00210";"Tinsukia";"IFSC00210"
211;"Tadepalligudem Branch 211";"BR00211";"Nashik";"IFSC00211"
212;"Ajmer Branch 212";"BR00212";"Agartala";"IFSC00212"
213;"Tinsukia Branch 213";"BR00213";"Gulbarga";"IFSC00213"
214;"Kulti Branch 214";"BR00214";"Guwahati";"IFSC00214"
215;"Malda Branch 215";"BR00215";"Imphal";"IFSC00215"
216;"Jorhat Branch 216";"BR00216";"Kota";"IFSC00216"
217;"Ulhasnagar Branch 217";"BR00217";"Gaya";"IFSC00217"
218;"Kolhapur Branch 218";"BR00218";"Karawal Nagar";"IFSC00218"
219;"Bhusawal Branch 219";"BR00219";"Ballia";"IFSC00219"
220;"Korba Branch 220";"BR00220";"Jabalpur";"IFSC00220"
221;"Chandrapur Branch 221";"BR00221";"Bhilai";"IFSC00221"
222;"Junagadh Branch 222";"BR00222";"Secunderabad";"IFSC00222"
223;"Vijayanagaram Branch 223";"BR00223";"Thiruvananthapuram";"IFSC00223"
224;"Hajipur Branch 224";"BR00224";"Erode";"IFSC00224"
225;"Jalgaon Branch 225";"BR00225";"Bhilwara";"IFSC00225"
226;"Aligarh Branch 226";"BR00226";"Ghaziabad";"IFSC00226"
227;"Surat Branch 227";"BR00227";"Gorakhpur";"IFSC00227"
228;"Darbhanga Branch 228";"BR00228";"Aurangabad";"IFSC00228"
229;"Gwalior Branch 229";"BR00229";"Erode";"IFSC00229"
230;"Srikakulam Branch 230";"BR00230";"Saharsa";"IFSC00230"
231;"Bokaro Branch 231";"BR00231";"Narasaraopet";"IFSC00231"
232;"Chapra Branch 232";"BR00232";"Ujjain";"IFSC00232"
233;"Sonipat Branch 233";"BR00233";"Kanpur";"IFSC00233"
234;"Bhatpara Branch 234";"BR00234";"Saharsa";"IFSC00234"
235;"Pudukkottai Branch 235";"BR00235";"Bongaigaon";"IFSC00235"
236;"Fatehpur Branch 236";"BR00236";"Thanjavur";"IFSC00236"
237;"Sagar Branch 237";"BR00237";"Mau";"IFSC00237"
238;"Hindupur Branch 238";"BR00238";"Faridabad";"IFSC00238"
239;"Uluberia Branch 239";"BR00239";"Bhatpara";"IFSC00239"
240;"Kurnool Branch 240";"BR00240";"Katihar";"IFSC00240"
241;"Jaipur Branch 241";"BR00241";"Sikar";"IFSC00241"
242;"Saharsa Branch 242";"BR00242";"Singrauli";"IFSC00242"
243;"Davanagere Branch 243";"BR00243";"Dewas";"IFSC00243"
244;"Tumkur Branch 244";"BR00244";"Kamarhati";"IFSC00244"
245;"Ambala Branch 245";"BR00245";"Bidhannagar";"IFSC00245"
246;"Dhule Branch 246";"BR00246";"Jodhpur";"IFSC00246"
247;"Ozhukarai Branch 247";"BR00247";"Howrah";"IFSC00247"
248;"Tirupati Branch 248";"BR00248";"Amroha";"IFSC00248"
249;"Avadi Branch 249";"BR00249";"Bhiwandi";"IFSC00249"
250;"Tadipatri Branch 250";"BR00250";"Tiruchirappalli";"IFSC00250"
251;"Davanagere Branch 251";"BR00251";"Jamshedpur";"IFSC00251"
252;"Bidhannagar Branch 252";"BR00252";"Loni";"IFSC00252"
253;"Etawah Branch 253";"BR00253";"Rewa";"IFSC00253"
254;"Ranchi Branch 254";"BR00254";"Bijapur";"IFSC00254"
255;"Surendranagar Dudhrej Branch 255";"BR00255";"Vadodara";"IFSC00255"
256;"Pune Branch 256";"BR00256";"Kochi";"IFSC00256"
257;"Gopalpur Branch 257";"BR00257";"Kollam";"IFSC00257"
258;"Visakhapatnam Branch 258";"BR00258";"Tezpur";"IFSC00258"
259;"Satna Branch 259";"BR00259";"Tiruchirappalli";"IFSC00259"
260;"Ahmedabad Branch 260";"BR00260";"Kollam";"IFSC00260"
261;"Phusro Branch 261";"BR00261";"Bongaigaon";"IFSC00261"
262;"Moradabad Branch 262";"BR00262";"Meerut";"IFSC00262"
263;"Muzaffarpur Branch 263";"BR00263";"Sonipat";"IFSC00263"
264;"Bahraich Branch 264";"BR00264";"Rampur";"IFSC00264"
265;"Ichalkaranji Branch 265";"BR00265";"Bhavnagar";"IFSC00265"
266;"South Dumdum Branch 266";"BR00266";"Tiruppur";"IFSC00266"
267;"Rewa Branch 267";"BR00267";"Rajpur Sonarpur";"IFSC00267"
268;"Amaravati Branch 268";"BR00268";"Patiala";"IFSC00268"
269;"Madhyamgram Branch 269";"BR00269";"Tumkur";"IFSC00269"
270;"Sikar Branch 270";"BR00270";"Bhimavaram";"IFSC00270"
271;"Shimoga Branch 271";"BR00271";"Buxar";"IFSC00271"
272;"Haridwar Branch 272";"BR00272";"Yamunanagar";"IFSC00272"
273;"Mysore Branch 273";"BR00273";"Karnal";"IFSC00273"
274;"Dhule Branch 274";"BR00274";"Satna";"IFSC00274"
275;"Aligarh Branch 275";"BR00275";"Satara";"IFSC00275"
276;"Shahjahanpur Branch 276";"BR00276";"Jammu";"IFSC00276"
277;"Kanpur Branch 277";"BR00277";"Nagercoil";"IFSC00277"
278;"Singrauli Branch 278";"BR00278";"Bellary";"IFSC00278"
279;"Jabalpur Branch 279";"BR00279";"Danapur";"IFSC00279"
280;"Adoni Branch 280";"BR00280";"Hosur";"IFSC00280"
281;"Kharagpur Branch 281";"BR00281";"Akola";"IFSC00281"
282;"Kurnool Branch 282";"BR00282";"Dibrugarh";"IFSC00282"
283;"Pali Branch 283";"BR00283";"Siwan";"IFSC00283"
284;"Burhanpur Branch 284";"BR00284";"Anantapuram";"IFSC00284"
285;"Nanded Branch 285";"BR00285";"Yamunanagar";"IFSC00285"
286;"Mathura Branch 286";"BR00286";"Siwan";"IFSC00286"
287;"Machilipatnam Branch 287";"BR00287";"Srikakulam";"IFSC00287"
288;"Salem Branch 288";"BR00288";"Tenali";"IFSC00288"
289;"Kishanganj Branch 289";"BR00289";"Thoothukudi";"IFSC00289"
290;"Dehri Branch 290";"BR00290";"Thoothukudi";"IFSC00290"
291;"Hosur Branch 291";"BR00291";"Jamshedpur";"IFSC00291"
292;"Chinsurah Branch 292";"BR00292";"Kochi";"IFSC00292"
293;"Chinsurah Branch 293";"BR00293";"Navi Mumbai";"IFSC00293"
294;"Anand Branch 294";"BR00294";"Anantapuram";"IFSC00294"
295;"Aurangabad Branch 295";"BR00295";"Karimnagar";"IFSC00295"
296;"Nagaon Branch 296";"BR00296";"Tadipatri";"IFSC00296"
297;"Hosur Branch 297";"BR00297";"Sasaram";"IFSC00297"
298;"Haldia Branch 298";"BR00298";"Pudukkottai";"IFSC00298"
299;"Secunderabad Branch 299";"BR00299";"Bahraich";"IFSC00299"
300;"Dehri Branch 300";"BR00300";"Anantapur";"IFSC00300"
301;"Bihar Sharif Branch 301";"BR00301";"Karawal Nagar";"IFSC00301"
302;"Moradabad Branch 302";"BR00302";"Mangalore";"IFSC00302"
303;"Alwar Branch 303";"BR00303";"Pali";"IFSC00303"
304;"Jamnagar Branch 304";"BR00304";"Rajpur Sonarpur";"IFSC00304"
305;"Secunderabad Branch 305";"BR00305";"Jalgaon";"IFSC00305"
306;"Aizawl Branch 306";"BR00306";"Hosur";"IFSC00306"
307;"Malda Branch 307";"BR00307";"Silchar";"IFSC00307"
308;"Navi Mumbai Branch 308";"BR00308";"Bhopal";"IFSC00308"
309;"Hyderabad Branch 309";"BR00309";"Gudivada";"IFSC00309"
310;"Lucknow Branch 310";"BR00310";"Etawah";"IFSC00310"
311;"Jaunpur Branch 311";"BR00311";"Bhubaneswar";"IFSC00311"
312;"Lucknow Branch 312";"BR00312";"Loni";"IFSC00312"
313;"Bally Branch 313";"BR00313";"Pune";"IFSC00313"
314;"Loni Branch 314";"BR00314";"Phusro";"IFSC00314"
315;"Lucknow Branch 315";"BR00315";"Guntur";"IFSC00315"
316;"Panipat Branch 316";"BR00316";"Jalna";"IFSC00316"
317;"Darbhanga Branch 317";"BR00317";"Chandigarh";"IFSC00317"
318;"South Dumdum Branch 318";"BR00318";"Jabalpur";"IFSC00318"
319;"Jamalpur Branch 319";"BR00319";"Agra";"IFSC00319"
320;"Mahbubnagar Branch 320";"BR00320";"Ahmednagar";"IFSC00320"
321;"Naihati Branch 321";"BR00321";"Ballia";"IFSC00321"
322;"Bhatpara Branch 322";"BR00322";"Srinagar";"IFSC00322"
323;"Bhagalpur Branch 323";"BR00323";"Sri Ganganagar";"IFSC00323"
324;"Dhanbad Branch 324";"BR00324";"Jaunpur";"IFSC00324"
325;"Nagaon Branch 325";"BR00325";"Kurnool";"IFSC00325"
326;"Singrauli Branch 326";"BR00326";"Rohtak";"IFSC00326"
327;"Dehri Branch 327";"BR00327";"Srinagar";"IFSC00327"
328;"Ozhukarai Branch 328";"BR00328";"Malda";"IFSC00328"
329;"Naihati Branch 329";"BR00329";"Kochi";"IFSC00329"
330;"Mysore Branch 330";"BR00330";"Vijayawada";"IFSC00330"
331;"Naihati Branch 331";"BR00331";"Aurangabad";"IFSC00331"
332;"Guntur Branch 332";"BR00332";"Satara";"IFSC00332"
333;"Jodhpur Branch 333";"BR00333";"Hubli–Dharwad";"IFSC00333"
334;"Agartala Branch 334";"BR00334";"Kurnool";"IFSC00334"
335;"Dharmavaram Branch 335";"BR00335";"Mau";"IFSC00335"
336;"Narasaraopet Branch 336";"BR00336";"Ongole";"IFSC00336"
337;"Surat Branch 337";"BR00337";"Gwalior";"IFSC00337"
338;"Vasai-Virar Branch 338";"BR00338";"Tinsukia";"IFSC00338"
339;"Bikaner Branch 339";"BR00339";"New Delhi";"IFSC00339"
340;"Jorhat Branch 340";"BR00340";"Howrah";"IFSC00340"
341;"Kochi Branch 341";"BR00341";"Machilipatnam";"IFSC00341"
342;"Bidhannagar Branch 342";"BR00342";"Bhalswa Jahangir Pur";"IFSC00342"
343;"Kollam Branch 343";"BR00343";"Ramgarh";"IFSC00343"
344;"Kumbakonam Branch 344";"BR00344";"Pune";"IFSC00344"
345;"Bulandshahr Branch 345";"BR00345";"Hazaribagh";"IFSC00345"
346;"Narasaraopet Branch 346";"BR00346";"Hajipur";"IFSC00346"
347;"Darbhanga Branch 347";"BR00347";"Bongaigaon";"IFSC00347"
348;"Vasai-Virar Branch 348";"BR00348";"Kochi";"IFSC00348"
349;"Madurai Branch 349";"BR00349";"Kurnool";"IFSC00349"
350;"Karimnagar Branch 350";"BR00350";"Jamalpur";"IFSC00350"
351;"Varanasi Branch 351";"BR00351";"Ramagundam";"IFSC00351"
352;"Kharagpur Branch 352";"BR00352";"Nadiad";"IFSC00352"
353;"Guwahati Branch 353";"BR00353";"Solapur";"IFSC00353"
354;"Medininagar Branch 354";"BR00354";"Kavali";"IFSC00354"
355;"Bhiwandi Branch 355";"BR00355";"Munger";"IFSC00355"
356;"Satna Branch 356";"BR00356";"Aligarh";"IFSC00356"
357;"Vellore Branch 357";"BR00357";"Shimla";"IFSC00357"
358;"Noida Branch 358";"BR00358";"Srikakulam";"IFSC00358"
359;"Karawal Nagar Branch 359";"BR00359";"Saharanpur";"IFSC00359"
360;"Jehanabad Branch 360";"BR00360";"Bulandshahr";"IFSC00360"
361;"Tumkur Branch 361";"BR00361";"Nandyal";"IFSC00361"
362;"Salem Branch 362";"BR00362";"Jalandhar";"IFSC00362"
363;"Hajipur Branch 363";"BR00363";"Begusarai";"IFSC00363"
364;"Proddatur Branch 364";"BR00364";"Siliguri";"IFSC00364"
365;"Khora  Branch 365";"BR00365";"Bhilai";"IFSC00365"
366;"Visakhapatnam Branch 366";"BR00366";"Thane";"IFSC00366"
367;"Farrukhabad Branch 367";"BR00367";"Vadodara";"IFSC00367"
368;"Asansol Branch 368";"BR00368";"Etawah";"IFSC00368"
369;"Dehradun Branch 369";"BR00369";"Bongaigaon";"IFSC00369"
370;"Bhusawal Branch 370";"BR00370";"Thanjavur";"IFSC00370"
371;"Karaikudi Branch 371";"BR00371";"Farrukhabad";"IFSC00371"
372;"Coimbatore Branch 372";"BR00372";"Amroha";"IFSC00372"
373;"Sultan Pur Majra Branch 373";"BR00373";"Hazaribagh";"IFSC00373"
374;"Jaipur Branch 374";"BR00374";"Mumbai";"IFSC00374"
375;"Muzaffarpur Branch 375";"BR00375";"Hospet";"IFSC00375"
376;"Bhilwara Branch 376";"BR00376";"Ajmer";"IFSC00376"
377;"Shimla Branch 377";"BR00377";"Bhubaneswar";"IFSC00377"
378;"Kurnool Branch 378";"BR00378";"Tumkur";"IFSC00378"
379;"Junagadh Branch 379";"BR00379";"Ghaziabad";"IFSC00379"
