"atm_id";"branch_id";"location";"city";"status"
119;37824;"19/20, Memon Zila";"Thane";"Active"
120;2826;"47/186
Savant";"Solapur";"Active"
121;33580;"H.No. 359
Sarkar Nagar";"Thane";"Active"
122;42541;"H.No. 04
Saxena Road";"Thane";"Inactive"
123;35569;"56/601
Jain Road";"Thane";"Inactive"
124;44771;"H.No. 428, Balan Marg";"Kolhapur";"Active"
125;1570;"57, Sule Marg";"Solapur";"Active"
126;38135;"50, Gandhi Marg";"Solapur";"Active"
127;40987;"H.No. 312, Nayak Path";"Aurangabad";"Active"
128;31467;"18/66, Mohan";"Ahmednagar";"Active"
129;46922;"H.No. 972
Mutti Chowk";"Nashik";"Active"
130;40779;"H.No. 20, Bahri Road";"Kolhapur";"Active"
131;21801;"72/22, Bath Chowk";"Nashik";"Active"
132;6995;"13
Choudhary Road";"Aurangabad";"Active"
133;19802;"087, Sehgal Ganj";"Mumbai";"Inactive"
134;30479;"H.No. 20, Krishnamurthy Road";"Kolhapur";"Inactive"
135;38291;"794, Karnik Road";"Solapur";"Inactive"
136;30823;"82/128
Sehgal Zila";"Satara";"Active"
137;7643;"28/41, Kapadia Marg";"Aurangabad";"Active"
138;44653;"05/347
Dugar Street";"Ahmednagar";"Inactive"
139;19780;"10
Mukhopadhyay Path";"Nagpur";"Inactive"
140;46263;"70
Doctor Chowk";"Aurangabad";"Active"
141;1042;"54
Sundaram Street";"Nagpur";"Active"
142;32023;"H.No. 981
Dhar Zila";"Kolhapur";"Inactive"
143;19570;"27/66, Bahri Chowk";"Ahmednagar";"Inactive"
144;15612;"H.No. 28
Ganesh Chowk";"Nashik";"Active"
145;6362;"89
Dhawan Path";"Solapur";"Active"
146;2996;"39/82
Thaman Ganj";"Kolhapur";"Active"
147;35210;"184, Sarma";"Nagpur";"Active"
148;24642;"96
Hari Marg";"Thane";"Inactive"
149;35568;"97/341
Samra Street";"Aurangabad";"Inactive"
150;13717;"751
Parekh Road";"Aurangabad";"Inactive"
151;47487;"409, Grover Street";"Thane";"Inactive"
152;5848;"45/018, Prasad Marg";"Ahmednagar";"Active"
153;47515;"60/56, Doshi Zila";"Nashik";"Inactive"
154;8872;"H.No. 57
Pathak Path";"Aurangabad";"Inactive"
155;37950;"H.No. 90, Aggarwal";"Solapur";"Active"
156;32809;"26, Parikh Chowk";"Nagpur";"Active"
157;24633;"H.No. 84, Thaker Road";"Ahmednagar";"Active"
158;15439;"20/45, Brar Marg";"Satara";"Inactive"
159;12761;"547
Comar";"Nagpur";"Active"
160;47483;"108
Doctor Path";"Satara";"Active"
161;15264;"76
Chaudhry Ganj";"Kolhapur";"Active"
162;15613;"37
Chokshi Road";"Kolhapur";"Inactive"
163;26243;"36/615
Bal Nagar";"Satara";"Inactive"
164;31317;"H.No. 04
Dugal Street";"Nagpur";"Inactive"
165;14760;"805
Gaba Chowk";"Thane";"Active"
166;26193;"30/00
Dalal";"Mumbai";"Inactive"
167;7348;"10/103, Agarwal Marg";"Solapur";"Active"
168;47338;"33, Kapadia Path";"Solapur";"Inactive"
169;4437;"45/821, Atwal Marg";"Thane";"Inactive"
170;17405;"94/916, Shroff Zila";"Kolhapur";"Active"
171;4340;"68/078
Saran Ganj";"Mumbai";"Active"
172;14068;"H.No. 028, Andra Marg";"Mumbai";"Inactive"
173;3713;"95, Lal Road";"Ahmednagar";"Active"
174;35624;"69/00
Barman Road";"Nagpur";"Active"
175;22315;"934
Deshpande Path";"Nagpur";"Active"
176;10260;"H.No. 31
Krishnan Marg";"Satara";"Inactive"
177;10048;"79, Atwal Circle";"Ahmednagar";"Inactive"
178;37422;"H.No. 638, Natarajan Circle";"Nashik";"Active"
179;18248;"H.No. 50
Chaudry Chowk";"Kolhapur";"Inactive"
180;29508;"56/226, Bir Road";"Ahmednagar";"Active"
181;28563;"58/00
Parikh Nagar";"Pune";"Inactive"
182;48941;"H.No. 043
Soni Circle";"Satara";"Inactive"
183;33061;"H.No. 327, Acharya Zila";"Kolhapur";"Active"
184;29569;"74, Barman Ganj";"Nagpur";"Active"
185;36883;"717
Magar Marg";"Aurangabad";"Inactive"
186;46886;"01/100
Kohli Nagar";"Ahmednagar";"Inactive"
187;10242;"85, Agarwal Zila";"Nagpur";"Active"
188;36343;"29/93, Krishna Street";"Thane";"Inactive"
189;18074;"H.No. 326
Murthy";"Ahmednagar";"Active"
190;12122;"47/43
Shenoy Zila";"Ahmednagar";"Active"
191;375;"64/19
Acharya Road";"Ahmednagar";"Inactive"
192;48052;"60/281
Pandey Path";"Satara";"Active"
193;34223;"50
Ghose Path";"Pune";"Inactive"
194;47302;"74/27, Shere Ganj";"Satara";"Inactive"
195;29184;"H.No. 255
Malhotra Chowk";"Ahmednagar";"Inactive"
196;37154;"69/03, Varkey Circle";"Kolhapur";"Active"
197;16560;"H.No. 904
Choudhary Street";"Nashik";"Active"
198;46453;"32/13, Sandhu Nagar";"Mumbai";"Inactive"
199;43686;"H.No. 255
Karpe Nagar";"Nashik";"Active"
200;8592;"57/17
Ratti Nagar";"Kolhapur";"Inactive"
201;29524;"H.No. 85
Hari Nagar";"Kolhapur";"Active"
202;17242;"H.No. 88, Sibal Chowk";"Thane";"Active"
203;21663;"76/66, Sundaram Circle";"Nagpur";"Active"
204;200;"520, Pillay Circle";"Nashik";"Inactive"
205;33582;"H.No. 45, Guha Marg";"Thane";"Active"
206;19440;"85/785
Basak Street";"Ahmednagar";"Inactive"
207;21982;"33/64
Sem Marg";"Pune";"Active"
208;5431;"46, Warrior Ganj";"Ahmednagar";"Inactive"
209;41560;"61
Deo Path";"Satara";"Active"
210;5800;"30/60
Chokshi Path";"Aurangabad";"Active"
211;44988;"25/690, Nayak Zila";"Nagpur";"Inactive"
212;48728;"64
Deol Chowk";"Kolhapur";"Active"
213;19186;"H.No. 957
Saran Path";"Solapur";"Active"
214;20772;"33/28, Narayan Circle";"Kolhapur";"Inactive"
215;15926;"02/22
Walia Road";"Aurangabad";"Active"
216;36567;"H.No. 177
Dada Road";"Solapur";"Active"
217;46313;"28/184
Mitter Circle";"Mumbai";"Active"
218;33591;"76/79, Gade Nagar";"Satara";"Active"
219;36407;"H.No. 42, Pandya Path";"Kolhapur";"Active"
220;37816;"31/976
Kothari Nagar";"Aurangabad";"Active"
221;10715;"081, Taneja Path";"Nashik";"Inactive"
222;10185;"72, Walia";"Kolhapur";"Inactive"
223;32386;"341, Shanker Path";"Pune";"Inactive"
224;30941;"H.No. 99, Bose Zila";"Solapur";"Active"
225;38344;"H.No. 29
Sur Marg";"Ahmednagar";"Inactive"
226;41479;"H.No. 650, Ramakrishnan Circle";"Thane";"Active"
227;36951;"80/419, Sarna Ganj";"Thane";"Inactive"
228;23638;"49
Krishnamurthy Ganj";"Mumbai";"Active"
229;31019;"865, Date Marg";"Solapur";"Active"
230;1495;"H.No. 39
Borde Zila";"Satara";"Active"
231;24372;"83/68, Mohanty Circle";"Nagpur";"Active"
232;4710;"68/65
Kala Nagar";"Ahmednagar";"Active"
233;20671;"30
Sur Ganj";"Aurangabad";"Active"
234;39935;"H.No. 467
Dyal Nagar";"Nagpur";"Inactive"
235;16266;"H.No. 213
Batra Ganj";"Mumbai";"Active"
236;17241;"122, Parmer Nagar";"Mumbai";"Active"
237;44286;"99, Jha Chowk";"Nashik";"Inactive"
238;34541;"H.No. 53
Kaur";"Nagpur";"Active"
239;16607;"723
Goyal Road";"Kolhapur";"Inactive"
240;29041;"68/71, Padmanabhan Marg";"Nagpur";"Active"
241;9998;"873
Pillay Street";"Nashik";"Inactive"
242;41497;"H.No. 216
Brahmbhatt Circle";"Thane";"Inactive"
243;21056;"854
Varty Marg";"Nagpur";"Active"
244;29089;"26, Khosla Marg";"Pune";"Inactive"
245;27126;"15/17
Om Circle";"Pune";"Inactive"
246;18872;"11
Kumar Nagar";"Solapur";"Active"
247;11797;"88/53
Warrior Street";"Satara";"Active"
248;10826;"H.No. 664, Jayaraman Ganj";"Aurangabad";"Inactive"
249;4771;"37
Manda Chowk";"Satara";"Active"
250;6777;"55, Dora Road";"Pune";"Active"
251;29123;"92/83
Mandal Path";"Kolhapur";"Inactive"
252;38091;"568
Modi Circle";"Ahmednagar";"Inactive"
253;28392;"H.No. 092, Tak Chowk";"Solapur";"Inactive"
254;18180;"55
Bhatt Nagar";"Thane";"Inactive"
255;38314;"H.No. 84, Yadav";"Solapur";"Inactive"
256;39074;"38
Koshy Circle";"Satara";"Inactive"
257;37807;"H.No. 905, Jaggi Path";"Pune";"Active"
258;38077;"H.No. 47, Tata Zila";"Satara";"Inactive"
259;32278;"60
Bala Chowk";"Nashik";"Active"
260;37169;"H.No. 222
Raman Path";"Kolhapur";"Active"
261;38176;"H.No. 218
Rajagopal Road";"Pune";"Active"
262;19721;"651, Bedi Circle";"Nashik";"Inactive"
263;48346;"28
Bajwa Zila";"Satara";"Active"
264;4107;"68/44
Keer Road";"Nashik";"Inactive"
265;7959;"H.No. 786, Lata Circle";"Nagpur";"Active"
266;39153;"H.No. 51
Batta Road";"Aurangabad";"Active"
267;35936;"580
Gole";"Nashik";"Active"
268;16650;"67/68, Dass Nagar";"Satara";"Inactive"
269;16947;"H.No. 106, Borah";"Thane";"Active"
270;25518;"H.No. 956, Saxena";"Satara";"Active"
271;21516;"80/92, Bala Street";"Nagpur";"Active"
272;48114;"25, Prashad Ganj";"Nagpur";"Active"
273;8703;"96
Vaidya Marg";"Nagpur";"Active"
274;44768;"25
Dhar Circle";"Ahmednagar";"Active"
275;33476;"H.No. 271
Mukherjee Circle";"Mumbai";"Active"
276;20165;"H.No. 93
Shan";"Aurangabad";"Inactive"
277;30989;"48/40, Bhatti Road";"Satara";"Active"
278;22272;"43, Kade Street";"Ahmednagar";"Inactive"
279;18635;"H.No. 547, Bahl Chowk";"Nagpur";"Inactive"
280;28767;"H.No. 847
Gokhale Ganj";"Solapur";"Inactive"
281;35982;"H.No. 753
Gour Circle";"Thane";"Active"
282;44314;"H.No. 81, Merchant Marg";"Pune";"Active"
283;7965;"92/18
Mutti Zila";"Mumbai";"Inactive"
284;13982;"03/548, Palla Ganj";"Ahmednagar";"Active"
285;20080;"71
Bhardwaj Chowk";"Nashik";"Inactive"
286;16493;"13/416, Lata Road";"Nagpur";"Active"
287;17467;"70, Anne Ganj";"Nashik";"Inactive"
288;32980;"07
Mukhopadhyay Chowk";"Nagpur";"Inactive"
289;48475;"H.No. 159
Chaudry Nagar";"Thane";"Inactive"
290;11328;"82/16, Chaudhuri Chowk";"Solapur";"Inactive"
291;629;"H.No. 99
Tripathi Nagar";"Mumbai";"Active"
292;44833;"H.No. 27
Ganesan Chowk";"Mumbai";"Inactive"
293;42521;"H.No. 380, Khosla Street";"Nashik";"Active"
294;46582;"H.No. 795, Rau Path";"Mumbai";"Active"
295;48143;"93/12
Nagy Chowk";"Nashik";"Active"
296;22712;"399
Naik Ganj";"Pune";"Inactive"
297;3826;"79, Das Street";"Mumbai";"Active"
298;29820;"78/83, Narain Chowk";"Pune";"Active"
299;15551;"41/73
Sabharwal";"Nashik";"Active"
300;26303;"84, Kara Street";"Satara";"Inactive"
301;30224;"66/80, Kapoor Marg";"Thane";"Inactive"
302;18283;"43/17, Dalal Ganj";"Nagpur";"Active"
303;47269;"38/74
Walia Nagar";"Satara";"Active"
304;41312;"H.No. 63, Parekh Street";"Kolhapur";"Active"
305;41126;"H.No. 169
Brar Street";"Nagpur";"Active"
306;17642;"01/09, Subramanian";"Aurangabad";"Active"
307;317;"80, Dhaliwal Street";"Nagpur";"Inactive"
308;39461;"H.No. 53, Kalita Path";"Mumbai";"Inactive"
309;49007;"91, Gole Ganj";"Mumbai";"Active"
310;11926;"62/73, Sidhu Path";"Solapur";"Active"
311;14167;"H.No. 284, Sachdev";"Thane";"Active"
312;47865;"H.No. 44, Dhaliwal Ganj";"Ahmednagar";"Inactive"
313;47406;"H.No. 65, Nagi Chowk";"Pune";"Inactive"
314;44901;"H.No. 98
Khosla Nagar";"Aurangabad";"Active"
315;25061;"639
Singhal Marg";"Aurangabad";"Active"
316;21175;"25/79
Mann Street";"Pune";"Inactive"
317;35787;"95/301, Murty Road";"Solapur";"Active"
318;36756;"H.No. 56
Bedi Marg";"Mumbai";"Active"
319;41311;"H.No. 18
Sama Marg";"Kolhapur";"Active"
320;12029;"H.No. 527, Trivedi Road";"Kolhapur";"Active"
321;16621;"47
Chaudhuri Path";"Ahmednagar";"Active"
322;666;"85/792, Pandya Circle";"Solapur";"Inactive"
323;48499;"62/823, Sastry Marg";"Thane";"Active"
324;48269;"724
Dani Street";"Thane";"Inactive"
325;40956;"14/095, Tailor Street";"Ahmednagar";"Active"
326;34894;"22
Parikh Zila";"Satara";"Active"
327;875;"894, Date";"Satara";"Inactive"
328;35711;"54/914, Puri";"Mumbai";"Active"
329;39154;"50/91, Sankar Path";"Nashik";"Inactive"
330;11866;"75, Kumer Road";"Pune";"Inactive"
331;14890;"52/18, Chada Path";"Pune";"Active"
332;4703;"50/69, Sachdeva Marg";"Ahmednagar";"Inactive"
333;37203;"96/212
Sarraf Street";"Aurangabad";"Active"
334;46674;"97/761
Dhaliwal Chowk";"Thane";"Inactive"
335;42668;"79/84, Tailor Nagar";"Thane";"Active"
336;37959;"17, Baral Path";"Solapur";"Active"
337;13748;"63/217, Maharaj Ganj";"Mumbai";"Active"
338;38410;"21/84
Sheth Nagar";"Ahmednagar";"Active"
339;49516;"90/289
Basak Street";"Ahmednagar";"Inactive"
340;19345;"00/58
Sandhu Zila";"Kolhapur";"Inactive"
341;12331;"H.No. 810, Ganesh Chowk";"Thane";"Active"
342;7038;"H.No. 008, Oak Chowk";"Satara";"Active"
343;41654;"381, Iyengar Marg";"Nagpur";"Inactive"
344;45794;"12, Kale Zila";"Solapur";"Inactive"
345;376;"24
Morar";"Solapur";"Active"
346;26205;"H.No. 847
Varughese Path";"Thane";"Inactive"
347;17111;"11, Zachariah Circle";"Nagpur";"Active"
348;13681;"64/175, Sheth";"Satara";"Active"
349;33769;"H.No. 10
Reddy Nagar";"Mumbai";"Active"
350;35775;"H.No. 43, Chandran Nagar";"Kolhapur";"Inactive"
351;43192;"65/52
Chander";"Solapur";"Inactive"
352;28738;"95/72, Rattan Path";"Mumbai";"Inactive"
353;30470;"821
Amble Street";"Solapur";"Active"
354;42288;"H.No. 91
Pal Zila";"Thane";"Active"
355;1186;"85/91, Sant Zila";"Solapur";"Inactive"
356;37049;"170, Purohit Ganj";"Nashik";"Inactive"
357;34061;"09, Saha Ganj";"Kolhapur";"Active"
358;5575;"H.No. 44
Agarwal Circle";"Satara";"Active"
359;48848;"74
Arya Zila";"Kolhapur";"Active"
360;49077;"H.No. 106
Dalal Ganj";"Ahmednagar";"Inactive"
361;46906;"34
Sethi Street";"Kolhapur";"Inactive"
362;47207;"16, Anand Road";"Mumbai";"Active"
363;3736;"H.No. 087
Rau Ganj";"Nashik";"Active"
364;4527;"H.No. 78
Gola Ganj";"Thane";"Active"
365;15547;"H.No. 539, Chakraborty Road";"Nashik";"Inactive"
366;39843;"H.No. 680, Kapur Circle";"Thane";"Active"
367;40169;"44/710, Iyer Circle";"Solapur";"Inactive"
368;3715;"H.No. 30, Mitra Path";"Solapur";"Inactive"
369;27321;"30/65, Arya Ganj";"Pune";"Inactive"
370;7575;"93/33
Kota Ganj";"Aurangabad";"Active"
371;23425;"H.No. 57
Mani Marg";"Mumbai";"Inactive"
372;14456;"53/114, Ahluwalia";"Aurangabad";"Active"
373;37096;"40
Sabharwal Road";"Mumbai";"Active"
374;36720;"98/59
Kapoor Nagar";"Nagpur";"Active"
375;24612;"12/498
Roy Road";"Nashik";"Inactive"
376;39988;"44/64, Sekhon Chowk";"Ahmednagar";"Active"
377;9932;"86/50
Kibe Street";"Mumbai";"Inactive"
378;15706;"29, Khanna Chowk";"Satara";"Inactive"
379;14701;"H.No. 637
Sahota Chowk";"Mumbai";"Inactive"
380;45433;"376
Bobal";"Aurangabad";"Inactive"
381;39441;"H.No. 315, Dua";"Satara";"Active"
382;31927;"62, Seth Circle";"Solapur";"Active"
383;28313;"06/048, Nanda Street";"Nashik";"Inactive"
384;38288;"78/517
Pandya Ganj";"Kolhapur";"Inactive"
385;7576;"53/222, Jha Road";"Nashik";"Active"
386;11846;"H.No. 94, Pant Zila";"Nashik";"Inactive"
387;813;"H.No. 60, Bora Ganj";"Nagpur";"Inactive"
388;30612;"H.No. 639
Mishra Path";"Kolhapur";"Active"
389;4941;"79/79, Kaul Circle";"Thane";"Active"
390;35251;"04/258
Sule Nagar";"Nagpur";"Inactive"
391;15443;"H.No. 614, Varkey Street";"Aurangabad";"Active"
392;13206;"575, Rao Circle";"Thane";"Inactive"
393;26287;"666
Walla Road";"Kolhapur";"Inactive"
394;42699;"H.No. 990, Chand Marg";"Solapur";"Inactive"
395;10263;"H.No. 129
Gokhale Marg";"Thane";"Active"
396;22254;"H.No. 662
Dhillon Ganj";"Nagpur";"Active"
397;28910;"H.No. 58
Dani Ganj";"Aurangabad";"Inactive"
398;37389;"68, Chandran Street";"Ahmednagar";"Inactive"
399;1215;"53, Dalal Path";"Satara";"Active"
400;28600;"21/68
Sehgal Circle";"Mumbai";"Active"
401;2164;"39
Pathak";"Ahmednagar";"Inactive"
402;41551;"05/81
Nagy Road";"Solapur";"Inactive"
403;5615;"31/63, Agate Path";"Ahmednagar";"Inactive"
404;29747;"40/402
Chandra Road";"Pune";"Active"
405;40794;"91/63
Narain Ganj";"Solapur";"Inactive"
406;38355;"096, Sunder Chowk";"Mumbai";"Inactive"
407;7381;"33/62
Dani Road";"Mumbai";"Inactive"
408;17398;"095
Chana";"Aurangabad";"Active"
409;22673;"76, Kurian Marg";"Ahmednagar";"Active"
410;39537;"33/44
Badal Chowk";"Solapur";"Inactive"
411;27605;"64/22
Sule Marg";"Ahmednagar";"Inactive"
412;10177;"63/67
Nagi Road";"Mumbai";"Inactive"
413;44616;"H.No. 38, Chhabra Marg";"Aurangabad";"Active"
414;26968;"H.No. 23, Sood Circle";"Solapur";"Inactive"
415;15861;"86/017
Zacharia Zila";"Nashik";"Active"
416;45952;"95/277, Keer Zila";"Pune";"Active"
417;45189;"H.No. 59
Batta Chowk";"Thane";"Active"
418;3652;"16/340
Kannan";"Solapur";"Active"
419;17432;"H.No. 02, Saraf Path";"Thane";"Inactive"
420;11122;"30/78, Chauhan Path";"Kolhapur";"Inactive"
421;45603;"55/21
Mangal Street";"Nashik";"Inactive"
422;47612;"H.No. 461
Chopra Zila";"Nashik";"Inactive"
423;134;"H.No. 70, Khanna Nagar";"Aurangabad";"Active"
424;13278;"67/647
Dhillon Ganj";"Solapur";"Active"
425;7969;"86/136, Rao";"Kolhapur";"Active"
426;21982;"H.No. 04
Merchant Zila";"Solapur";"Active"
427;6610;"H.No. 74
Bal Circle";"Nashik";"Active"
428;48418;"H.No. 80
Bhalla Marg";"Kolhapur";"Active"
429;19995;"14
Kala Zila";"Solapur";"Active"
430;24751;"H.No. 699, Upadhyay Marg";"Mumbai";"Active"
431;18605;"H.No. 41, Patla Chowk";"Thane";"Active"
432;23260;"H.No. 92
Chahal";"Solapur";"Active"
433;1536;"26
Mistry Street";"Pune";"Inactive"
434;17360;"524, Bora Chowk";"Ahmednagar";"Inactive"
435;21128;"62/43, Kata Marg";"Mumbai";"Inactive"
436;45391;"41/230, Master Marg";"Aurangabad";"Active"
437;37514;"93, Bal Chowk";"Solapur";"Active"
438;47376;"040, Sule";"Satara";"Inactive"
439;10749;"46/81
Lalla Ganj";"Mumbai";"Active"
440;7810;"30, Sandhu Circle";"Mumbai";"Active"
441;15627;"90/05, Raj Path";"Aurangabad";"Inactive"
442;45651;"50/95, Bhavsar";"Pune";"Inactive"
443;23700;"94/47, Mangal";"Mumbai";"Active"
444;31109;"66
Choudhary Zila";"Kolhapur";"Inactive"
445;13907;"H.No. 417, Gala Path";"Ahmednagar";"Active"
446;10853;"78, Chana Chowk";"Kolhapur";"Active"
447;4936;"H.No. 119, Bhattacharyya Marg";"Nagpur";"Active"
448;17519;"26/96
Parikh";"Pune";"Active"
449;32301;"H.No. 65, Suri Zila";"Aurangabad";"Inactive"
450;39953;"H.No. 344
Sawhney Chowk";"Pune";"Active"
451;4300;"95, Mital Road";"Thane";"Inactive"
452;28561;"03/862, Seshadri Street";"Nagpur";"Active"
453;38010;"H.No. 32, Bal Marg";"Solapur";"Active"
454;10959;"10/79, Shenoy Road";"Pune";"Inactive"
455;14654;"64
Andra Path";"Thane";"Active"
